level,gap_h,session_min,growth_spread_pct,sale_spread_pct,fastest,slowest
51,4,1,2.0888147607845076,2.579662659699866,ROGUE,CLERIC
52,4,1,2.081131754972154,2.584621193064951,ROGUE,CLERIC
53,4,1,2.062992005005193,2.6452507269561165,ROGUE,CLERIC
54,4,1,2.0538485804391327,2.643048532562098,ROGUE,CLERIC
55,4,1,2.0447323086839164,2.6878012719787403,ROGUE,CLERIC
56,4,1,2.0317858295920255,2.699588908020689,ROGUE,CLERIC
57,4,1,2.0143993599419208,2.69047147121253,ROGUE,CLERIC
58,4,1,1.9930454209686088,2.668647690386594,ROGUE,CLERIC
59,4,1,1.9976999818106744,2.6757694963960077,WARRIOR,CLERIC
60,4,1,2.0306067069786105,2.6717735322880243,WARRIOR,CLERIC
61,4,1,2.0706515263417824,2.6747519252716234,WARRIOR,CLERIC
62,4,1,2.1150694865842423,2.658604165843559,WARRIOR,CLERIC
63,4,1,2.161137120024481,2.679131989453176,WARRIOR,CLERIC
64,4,1,2.2064771742049905,2.7103634575754487,WARRIOR,CLERIC
65,4,1,2.2622759548831084,2.753576822158643,WARRIOR,CLERIC
66,4,1,2.3163126925661137,2.806385457849192,WARRIOR,CLERIC
67,4,1,2.3732243199855008,2.853384584768026,WARRIOR,CLERIC
68,4,1,2.434581478515696,2.900746045576974,WARRIOR,CLERIC
69,4,1,2.5456545360339478,2.9540125356785296,WARRIOR,PALADIN
70,4,1,2.655436309780157,3.002479438201955,WARRIOR,PALADIN
71,4,1,2.7693416906304114,3.0520224554718256,WARRIOR,PALADIN
72,4,1,2.8893687121457345,3.1028344218606785,WARRIOR,PALADIN
73,4,1,3.005893670193016,3.1549441367782816,WARRIOR,PALADIN
74,4,1,3.1321170510369756,3.1987335094581626,WARRIOR,PALADIN
75,4,1,3.260942757306573,3.246331338800146,WARRIOR,PALADIN
76,4,1,3.3908992669561266,3.292437847672436,WARRIOR,PALADIN
77,4,1,3.5228490599218176,3.340479507853722,WARRIOR,PALADIN
78,4,1,3.652882499546539,3.386546606614216,WARRIOR,PALADIN
79,4,1,3.7905750003589533,3.4340759685904,WARRIOR,PALADIN
80,4,1,3.92705886953848,3.480874317227123,WARRIOR,PALADIN
81,4,1,4.065736923537089,3.525595690389971,WARRIOR,PALADIN
82,4,1,4.207626993908176,3.5725574312456043,WARRIOR,PALADIN
83,4,1,4.344314575736541,3.6203163410073014,WARRIOR,PALADIN
84,4,1,4.488520364077053,3.695907780458474,WARRIOR,PALADIN
85,4,1,4.634754565640975,3.7913246167456727,WARRIOR,PALADIN
86,4,1,4.783245024919269,3.8885731351291586,WARRIOR,PALADIN
87,4,1,4.935604873653721,3.975525556815418,WARRIOR,PALADIN
88,4,1,5.0842381595033626,4.071202800712981,WARRIOR,PALADIN
89,4,1,5.240858693813588,4.172713541069961,WARRIOR,PALADIN
90,4,1,5.39896658445822,4.267225529062224,WARRIOR,PALADIN
91,4,1,5.558290511251496,4.3575457895172365,WARRIOR,PALADIN
92,4,1,5.719205107551861,4.4559092276525325,WARRIOR,PALADIN
93,4,1,5.876243574012219,4.562152183170731,WARRIOR,PALADIN
94,4,1,6.038318477752336,4.668679082176874,WARRIOR,PALADIN
95,4,1,6.199093688904456,4.774303359120657,WARRIOR,PALADIN
96,4,1,6.362161425305546,4.871894544740196,WARRIOR,PALADIN
97,4,1,6.520077687049053,4.9633925033435,WARRIOR,PALADIN
98,4,1,6.681369794618863,5.069245552426738,WARRIOR,PALADIN
99,4,1,6.843466986799696,5.1694930259867045,WARRIOR,PALADIN
100,4,1,7.006468490237983,5.270140603570894,WARRIOR,PALADIN
101,4,1,7.165625309832224,5.37149846298961,WARRIOR,PALADIN
102,4,1,7.321345802146517,5.464874388302321,WARRIOR,PALADIN
103,4,1,7.4792523284559875,5.560281033304615,WARRIOR,PALADIN
104,4,1,7.633527258622075,5.657420171800687,WARRIOR,PALADIN
105,4,1,7.782640670479557,5.756707223673474,WARRIOR,PALADIN
106,4,1,7.922587706636208,5.829372138245259,WARRIOR,PALADIN
107,4,1,8.063534221943769,5.930750022379017,WARRIOR,PALADIN
108,4,1,8.200728668137636,6.014674815331866,WARRIOR,PALADIN
109,4,1,8.333683608983078,6.0793459722089604,WARRIOR,PALADIN
110,4,1,8.458785015940972,6.153114421677075,WARRIOR,PALADIN
111,4,1,8.580490559118314,6.229849844056812,WARRIOR,PALADIN
112,4,1,8.70077304714776,6.287180223284405,WARRIOR,PALADIN
113,4,1,8.816157216121079,6.3645229229821965,WARRIOR,PALADIN
114,4,1,8.927870713866515,6.432178277865086,WARRIOR,PALADIN
115,4,1,9.03303136457061,6.499916553839458,WARRIOR,PALADIN
116,4,1,9.13864171929848,6.566770577650671,WARRIOR,PALADIN
117,4,1,9.241428760145642,6.624516026154681,WARRIOR,PALADIN
118,4,1,9.340454856437063,6.689425177957253,WARRIOR,PALADIN
119,4,1,9.43365541232244,6.754081674605383,WARRIOR,PALADIN
120,4,1,9.526242646706539,6.806986127501524,WARRIOR,PALADIN
20,4,5,1.726323084235326,1.625277621995025,ROGUE,CLERIC
21,4,5,1.7056252194321386,1.5400990060153275,ROGUE,CLERIC
22,4,5,1.6637918930206386,1.395710848768239,ROGUE,CLERIC
23,4,5,1.5811473353492866,1.3311408230403776,ROGUE,CLERIC
24,4,5,1.5473787522614524,1.2440622933991063,ROGUE,CLERIC
25,4,5,1.5549583421859081,1.28863633834575,ROGUE,CLERIC
26,4,5,1.5750657163450033,1.285051365068468,ROGUE,CLERIC
27,4,5,1.6108544487390297,1.3021804998420317,ROGUE,CLERIC
28,4,5,1.6870056056911942,1.266743771594614,ROGUE,CLERIC
29,4,5,1.7112016831706711,1.3598001235744173,ROGUE,CLERIC
30,4,5,1.748547663734512,1.451306472534153,ROGUE,CLERIC
31,4,5,1.8023626070825527,1.5760656508256643,ROGUE,CLERIC
32,4,5,1.8414250404729327,1.656151777944892,ROGUE,CLERIC
33,4,5,1.8764974103673726,1.7181446403591094,ROGUE,CLERIC
34,4,5,1.9341010722045526,1.7780760674501073,ROGUE,CLERIC
35,4,5,1.9886749146412974,1.9424718331373825,ROGUE,CLERIC
36,4,5,2.0473397936387583,2.106590926366847,ROGUE,CLERIC
37,4,5,2.0873648102855746,2.19196996300266,ROGUE,CLERIC
38,4,5,2.1269460641626825,2.2496148955525985,ROGUE,CLERIC
39,4,5,2.1355768279204934,2.2733490854538463,ROGUE,CLERIC
40,4,5,2.1981207911836442,2.2920209474836417,ROGUE,CLERIC
41,4,5,2.22844823243038,2.307426471195928,ROGUE,CLERIC
42,4,5,2.219605902522237,2.3346221696132874,ROGUE,CLERIC
43,4,5,2.233922309101821,2.30837928628409,ROGUE,CLERIC
44,4,5,2.2342214522162784,2.348327762354896,ROGUE,CLERIC
45,4,5,2.2273286461707453,2.3528331469271135,ROGUE,CLERIC
46,4,5,2.188333900482742,2.354605290091638,ROGUE,CLERIC
47,4,5,2.1486550641208524,2.418319397321511,ROGUE,CLERIC
48,4,5,2.1167980411025855,2.463632714076658,ROGUE,CLERIC
49,4,5,2.0862115715493568,2.509974572487006,ROGUE,CLERIC
50,4,5,2.0899564746659216,2.5341759102903705,ROGUE,CLERIC
51,4,5,2.0888147607845076,2.5796626596998884,ROGUE,CLERIC
52,4,5,2.08113175497211,2.584621193064973,ROGUE,CLERIC
53,4,5,2.062992005005193,2.6452507269561387,ROGUE,CLERIC
54,4,5,2.0538485804391104,2.64304853256212,ROGUE,CLERIC
55,4,5,2.0447323086839386,2.6878012719787625,ROGUE,CLERIC
56,4,5,2.0317858295920477,2.6995889080207114,ROGUE,CLERIC
57,4,5,2.0143993599418986,2.6904714712125077,ROGUE,CLERIC
58,4,5,1.993045420968631,2.668647690386594,ROGUE,CLERIC
59,4,5,1.9976999818106522,2.6757694963960077,WARRIOR,CLERIC
60,4,5,2.0306067069785882,2.671773532288002,WARRIOR,CLERIC
61,4,5,2.0706515263417824,2.674751925271601,WARRIOR,CLERIC
62,4,5,2.1150694865842423,2.658604165843559,WARRIOR,CLERIC
63,4,5,2.161137120024459,2.6791319894531984,WARRIOR,CLERIC
64,4,5,2.2064771742049905,2.710363457575471,WARRIOR,CLERIC
65,4,5,2.262275954883086,2.753576822158643,WARRIOR,CLERIC
66,4,5,2.3163126925661137,2.806385457849192,WARRIOR,CLERIC
67,4,5,2.3732243199854786,2.853384584768004,WARRIOR,CLERIC
68,4,5,2.434581478515696,2.900746045576974,WARRIOR,CLERIC
69,4,5,2.5456545360339033,2.954012535678485,WARRIOR,PALADIN
70,4,5,2.655436309780135,3.002479438201955,WARRIOR,PALADIN
71,4,5,2.769341690630389,3.052022455471848,WARRIOR,PALADIN
72,4,5,2.8893687121457123,3.1028344218607007,WARRIOR,PALADIN
73,4,5,3.005893670192994,3.1549441367783038,WARRIOR,PALADIN
74,4,5,3.1321170510369756,3.1987335094581626,WARRIOR,PALADIN
75,4,5,3.260942757306551,3.246331338800168,WARRIOR,PALADIN
76,4,5,3.39089926695606,3.2924378476723914,WARRIOR,PALADIN
77,4,5,3.5228490599217954,3.340479507853722,WARRIOR,PALADIN
78,4,5,3.652882499546539,3.3865466066141936,WARRIOR,PALADIN
79,4,5,3.7905750003589533,3.4340759685903777,WARRIOR,PALADIN
80,4,5,3.927058869538458,3.4808743172271006,WARRIOR,PALADIN
81,4,5,4.065736923537089,3.525595690389971,WARRIOR,PALADIN
82,4,5,4.207626993908153,3.5725574312456043,WARRIOR,PALADIN
83,4,5,4.344314575736541,3.620316341007279,WARRIOR,PALADIN
84,4,5,4.488520364077031,3.695907780458496,WARRIOR,PALADIN
85,4,5,4.634563714034079,3.791324616745695,WARRIOR,PALADIN
86,4,5,4.782089371958476,3.888573135129181,WARRIOR,PALADIN
87,4,5,4.932181154057735,3.9755255568154624,WARRIOR,PALADIN
88,4,5,5.076831411327398,4.071202800712936,WARRIOR,PALADIN
89,4,5,5.227545366919939,4.172713541069961,WARRIOR,PALADIN
90,4,5,5.378049395845919,4.267225529062246,WARRIOR,PALADIN
91,4,5,5.526718374250561,4.357545789517259,WARRIOR,PALADIN
92,4,5,5.673333113082024,4.45590922765251,WARRIOR,PALADIN
93,4,5,5.812798307466194,4.562152183170731,WARRIOR,PALADIN
94,4,5,5.952478307319842,4.668679082176896,WARRIOR,PALADIN
95,4,5,6.085304169114036,4.774303359120657,WARRIOR,PALADIN
96,4,5,6.2141139074953555,4.871894544740218,WARRIOR,PALADIN
97,4,5,6.3324003080549085,4.9633925033435,WARRIOR,PALADIN
98,4,5,6.447466922593126,5.069245552426738,WARRIOR,PALADIN
99,4,5,6.558740492416271,5.169493025986727,WARRIOR,PALADIN
100,4,5,6.666136910673148,5.270140603570872,WARRIOR,PALADIN
101,4,5,6.766492598905605,5.371498462989566,WARRIOR,PALADIN
102,4,5,6.863124628639317,5.464874388302299,WARRIOR,PALADIN
103,4,5,6.9598657318838075,5.560281033304637,WARRIOR,PALADIN
104,4,5,7.053365372966769,5.657420171800642,WARRIOR,PALADIN
105,4,5,7.142336146511807,5.756707223673474,WARRIOR,PALADIN
106,4,5,7.2250903774523145,5.829372138245303,WARRIOR,PALADIN
107,4,5,7.308430920842057,5.930750022379017,WARRIOR,PALADIN
108,4,5,7.388917293445485,6.014674815331866,WARRIOR,PALADIN
109,4,5,7.466102173957534,6.0793459722089604,WARRIOR,PALADIN
110,4,5,7.5375945015903945,6.153114421677075,WARRIOR,PALADIN
111,4,5,7.6066790344837765,6.229849844056856,WARRIOR,PALADIN
112,4,5,7.674916688805156,6.287180223284428,WARRIOR,PALADIN
113,4,5,7.73922446134756,6.364522922982219,WARRIOR,PALADIN
114,4,5,7.800980907944921,6.43217827786513,WARRIOR,PALADIN
115,4,5,7.858402343295201,6.499916553839458,WARRIOR,PALADIN
116,4,5,7.915327596925592,6.566770577650671,WARRIOR,PALADIN
117,4,5,7.9704066652454,6.624516026154725,WARRIOR,PALADIN
118,4,5,8.022693573065398,6.6894251779572755,WARRIOR,PALADIN
119,4,5,8.07146867290427,6.754081674605428,WARRIOR,PALADIN
120,4,5,8.119491167827796,6.806986127501524,WARRIOR,PALADIN
20,4,12,1.7482177181926462,1.6921502863276316,ROGUE,CLERIC
21,4,12,1.727058719996477,1.6389692457629002,ROGUE,CLERIC
22,4,12,1.686016860168582,1.5784338158570277,ROGUE,CLERIC
23,4,12,1.6050104079173177,1.5021848268176763,ROGUE,CLERIC
24,4,12,1.5730036081136545,1.5292474754879493,ROGUE,CLERIC
25,4,12,1.5826517318203281,1.596257863956163,ROGUE,CLERIC
26,4,12,1.6046972309709417,1.6229351294412497,ROGUE,CLERIC
27,4,12,1.642638533589813,1.6102251617730268,ROGUE,CLERIC
28,4,12,1.7209671367855117,1.6670160066683648,ROGUE,CLERIC
29,4,12,1.7472108297243993,1.7334899768517653,ROGUE,CLERIC
30,4,12,1.7872751159610845,1.7870771283085451,ROGUE,CLERIC
31,4,12,1.8436237157964497,1.853412163206336,ROGUE,CLERIC
32,4,12,1.885652520732739,1.9172104168475812,ROGUE,CLERIC
33,4,12,1.924076270170172,2.0155379080156965,ROGUE,CLERIC
34,4,12,1.9852208081637235,2.101114946791993,ROGUE,CLERIC
35,4,12,2.0438938473412493,2.201962035620042,ROGUE,CLERIC
36,4,12,2.10665947209856,2.2781492847224527,ROGUE,CLERIC
37,4,12,2.151565437082237,2.347377726759192,ROGUE,CLERIC
38,4,12,2.196356275303657,2.410900196740462,ROGUE,CLERIC
39,4,12,2.2090460193856742,2.4701950365655145,ROGUE,CLERIC
40,4,12,2.275623298324536,2.564716168504777,ROGUE,CLERIC
41,4,12,2.309752124872899,2.6098069637463084,ROGUE,CLERIC
42,4,12,2.3043166307920693,2.676098124520765,ROGUE,CLERIC
43,4,12,2.322020923705015,2.744320604864292,ROGUE,CLERIC
44,4,12,2.325327066674787,2.8099212951874453,ROGUE,CLERIC
45,4,12,2.321695219953268,2.848620447372263,ROGUE,CLERIC
46,4,12,2.286284396488658,2.898851107228828,ROGUE,CLERIC
47,4,12,2.249759411011243,2.9475603345129553,ROGUE,CLERIC
48,4,12,2.2201860575420174,3.0068059793106006,ROGUE,CLERIC
49,4,12,2.191104096628438,3.046257046978429,ROGUE,CLERIC
50,4,12,2.1959479697914785,3.0879611817962616,ROGUE,CLERIC
51,4,12,2.196241174613678,3.1342332018925667,ROGUE,CLERIC
52,4,12,2.18982303185129,3.178833459831054,ROGUE,CLERIC
53,4,12,2.171922512484814,3.2321024384134756,ROGUE,CLERIC
54,4,12,2.163362515101497,3.286212000527855,ROGUE,CLERIC
55,4,12,2.1558048298995436,3.3439486692500076,ROGUE,CLERIC
56,4,12,2.14469619366191,3.396961561499734,ROGUE,CLERIC
57,4,12,2.128521594944255,3.4514355805662866,ROGUE,CLERIC
58,4,12,2.107715582450864,3.5099406042687686,ROGUE,CLERIC
59,4,12,2.089128334260537,3.567145419559692,ROGUE,CLERIC
60,4,12,2.0710596000203862,3.6297778321888297,ROGUE,CLERIC
61,4,12,2.054131269358339,3.6929456222423607,ROGUE,CLERIC
62,4,12,2.0419891093913956,3.7570572562885873,ROGUE,CLERIC
63,4,12,2.031593655393693,3.8256811655674072,ROGUE,CLERIC
64,4,12,2.0175125717759146,3.8970999772949932,ROGUE,WARRIOR
65,4,12,2.0431537091698315,3.9705635228161507,ROGUE,WARRIOR
66,4,12,2.071166877449837,4.044696433152262,ROGUE,WARRIOR
67,4,12,2.1015555937176966,4.150925906263936,ROGUE,WARRIOR
68,4,12,2.129715570290358,4.256983876265741,ROGUE,WARRIOR
69,4,12,2.156484421262861,4.372862458995286,ROGUE,WARRIOR
70,4,12,2.187490025428507,4.488643799310754,ROGUE,WARRIOR
71,4,12,2.229986470164369,4.580751165105834,RANGER,WARRIOR
72,4,12,2.3013138089948093,4.698664530528873,RANGER,WARRIOR
73,4,12,2.3713995322722337,4.812316376750214,RANGER,WARRIOR
74,4,12,2.4442552208864043,4.943827657810385,RANGER,WARRIOR
75,4,12,2.5203325281032862,5.089288140609272,RANGER,WARRIOR
76,4,12,2.5985765665598404,5.217660675991609,RANGER,WARRIOR
77,4,12,2.6759835571663837,5.339445184671399,RANGER,WARRIOR
78,4,12,2.752368135901273,5.458930397002959,RANGER,WARRIOR
79,4,12,2.827556939229825,5.592560353826603,RANGER,WARRIOR
80,4,12,2.906456566735671,5.69327709387446,RANGER,WARRIOR
81,4,12,2.9828103425201036,5.844842755814139,RANGER,WARRIOR
82,4,12,3.0603204704575226,5.937749174331031,RANGER,WARRIOR
83,4,12,3.1368779694923576,6.065858212623931,RANGER,WARRIOR
84,4,12,3.2156291062504394,6.201593576243258,RANGER,WARRIOR
85,4,12,3.2993289475063747,6.326783660906865,RANGER,WARRIOR
86,4,12,3.381036045416841,6.449859136023983,RANGER,WARRIOR
87,4,12,3.463203463203479,6.56575115199014,RANGER,WARRIOR
88,4,12,3.5411784257610934,6.701723682404559,RANGER,WARRIOR
89,4,12,3.6234478600319697,6.840999768604283,RANGER,WARRIOR
90,4,12,3.7100831275481028,6.9651939905092775,RANGER,WARRIOR
91,4,12,3.7961716248595456,7.086702535664746,RANGER,WARRIOR
92,4,12,3.8803113137789724,7.22358209599312,RANGER,WARRIOR
93,4,12,3.96410869391981,7.3519761072055045,RANGER,WARRIOR
94,4,12,4.04875288055353,7.498310100323846,RANGER,WARRIOR
95,4,12,4.133662849983621,7.608348501711881,RANGER,WARRIOR
96,4,12,4.22027541049943,7.7477249076221,RANGER,WARRIOR
97,4,12,4.303639639383872,7.873717785707202,RANGER,WARRIOR
98,4,12,4.3874431376239365,8.022277282149194,RANGER,WARRIOR
99,4,12,4.475893329924929,8.150633939893215,RANGER,WARRIOR
100,4,12,4.563387956086529,8.284032235280536,RANGER,WARRIOR
101,4,12,4.65148690693391,8.426295815215923,RANGER,WARRIOR
102,4,12,4.737176689477862,8.548773467529047,RANGER,WARRIOR
103,4,12,4.8231312820169014,8.690607120415429,RANGER,WARRIOR
104,4,12,4.9094902103469895,8.814201564961909,RANGER,WARRIOR
105,4,12,4.995054935174692,8.935398954826713,RANGER,WARRIOR
106,4,12,5.073694827415465,9.051952902840977,RANGER,WARRIOR
107,4,12,5.154938843330004,9.16954203757603,RANGER,WARRIOR
108,4,12,5.232660417041313,9.266900343463691,RANGER,WARRIOR
109,4,12,5.3096443431289275,9.3675324008885,RANGER,WARRIOR
110,4,12,5.385216370596191,9.461818984526293,RANGER,WARRIOR
111,4,12,5.461968397404671,9.556601463694015,RANGER,WARRIOR
112,4,12,5.5369072956298115,9.657626785561657,RANGER,WARRIOR
113,4,12,5.610165503600961,9.745748337092364,RANGER,WARRIOR
114,4,12,5.679988606926112,9.827299391239386,RANGER,WARRIOR
115,4,12,5.749041309437852,9.926129599457223,RANGER,WARRIOR
116,4,12,5.822051097015701,10.007233913201642,RANGER,WARRIOR
117,4,12,5.8945234656901935,10.07645468263172,RANGER,WARRIOR
118,4,12,5.965092025869612,10.155408149677836,RANGER,WARRIOR
119,4,12,6.033231431275632,10.235430977137948,RANGER,WARRIOR
120,4,12,6.099751170042689,10.29538964919916,RANGER,WARRIOR
20,6,1,1.726323084235304,1.625277621995025,ROGUE,CLERIC
21,6,1,1.7056252194321164,1.5400990060153275,ROGUE,CLERIC
22,6,1,1.6637918930206164,1.395710848768239,ROGUE,CLERIC
23,6,1,1.5811473353492644,1.3311408230403776,ROGUE,CLERIC
24,6,1,1.5473787522614524,1.2440622933991285,ROGUE,CLERIC
25,6,1,1.5549583421859081,1.28863633834575,ROGUE,CLERIC
26,6,1,1.5750657163450033,1.2850513650684459,ROGUE,CLERIC
27,6,1,1.6108544487390297,1.3021804998419872,ROGUE,CLERIC
28,6,1,1.6870056056911942,1.2667437715945917,ROGUE,CLERIC
29,6,1,1.7112016831706711,1.3598001235744395,ROGUE,CLERIC
30,6,1,1.7485476637344899,1.4513064725341307,ROGUE,CLERIC
31,6,1,1.8023626070825305,1.5760656508256643,ROGUE,CLERIC
32,6,1,1.8414250404729327,1.6561517779449142,ROGUE,CLERIC
33,6,1,1.8764974103673948,1.7181446403591094,ROGUE,CLERIC
34,6,1,1.9341010722045748,1.778076067450085,ROGUE,CLERIC
35,6,1,1.9886749146412974,1.9424718331373603,ROGUE,CLERIC
36,6,1,2.0473397936387583,2.1065909263668026,ROGUE,CLERIC
37,6,1,2.087364810285597,2.191969963002638,ROGUE,CLERIC
38,6,1,2.126946064162727,2.2496148955525985,ROGUE,CLERIC
39,6,1,2.1355768279204934,2.2733490854538463,ROGUE,CLERIC
40,6,1,2.1981207911836442,2.2920209474836417,ROGUE,CLERIC
41,6,1,2.22844823243038,2.3074264711959502,ROGUE,CLERIC
42,6,1,2.219605902522237,2.3346221696132874,ROGUE,CLERIC
43,6,1,2.2339223091018434,2.308379286284068,ROGUE,CLERIC
44,6,1,2.2342214522163006,2.3483277623548737,ROGUE,CLERIC
45,6,1,2.2273286461707453,2.3528331469271135,ROGUE,CLERIC
46,6,1,2.188333900482742,2.354605290091638,ROGUE,CLERIC
47,6,1,2.1486550641208524,2.418319397321489,ROGUE,CLERIC
48,6,1,2.1167980411025855,2.4636327140765912,ROGUE,CLERIC
49,6,1,2.086211571549379,2.509974572487006,ROGUE,CLERIC
50,6,1,2.0899564746659216,2.5341759102903705,ROGUE,CLERIC
51,6,1,2.0888147607845298,2.5796626596998884,ROGUE,CLERIC
52,6,1,2.081131754972132,2.584621193064951,ROGUE,CLERIC
53,6,1,2.062992005005171,2.6452507269560943,ROGUE,CLERIC
54,6,1,2.053848580439155,2.643048532562098,ROGUE,CLERIC
55,6,1,2.0447323086839164,2.6878012719787403,ROGUE,CLERIC
56,6,1,2.0317858295920255,2.6995889080207114,ROGUE,CLERIC
57,6,1,2.014399359941943,2.69047147121253,ROGUE,CLERIC
58,6,1,1.9930454209686532,2.668647690386594,ROGUE,CLERIC
59,6,1,1.9976999818106744,2.6757694963960077,WARRIOR,CLERIC
60,6,1,2.0306067069785882,2.6717735322880243,WARRIOR,CLERIC
61,6,1,2.0706515263418046,2.6747519252716234,WARRIOR,CLERIC
62,6,1,2.1150694865842645,2.6586041658435366,WARRIOR,CLERIC
63,6,1,2.1611371200245033,2.6791319894531984,WARRIOR,CLERIC
64,6,1,2.2064771742050127,2.7103634575754265,WARRIOR,CLERIC
65,6,1,2.2622759548831084,2.753576822158621,WARRIOR,CLERIC
66,6,1,2.3163126925660915,2.806385457849192,WARRIOR,CLERIC
67,6,1,2.3732243199854564,2.853384584768026,WARRIOR,CLERIC
68,6,1,2.434581478515674,2.9007460455769962,WARRIOR,CLERIC
69,6,1,2.5456545360339256,2.9540125356785074,WARRIOR,PALADIN
70,6,1,2.655436309780157,3.002479438201955,WARRIOR,PALADIN
71,6,1,2.769341690630367,3.052022455471848,WARRIOR,PALADIN
72,6,1,2.8893687121457123,3.1028344218606785,WARRIOR,PALADIN
73,6,1,3.005893670192994,3.1549441367782594,WARRIOR,PALADIN
74,6,1,3.1321170510369756,3.1987335094581404,WARRIOR,PALADIN
75,6,1,3.260942757306573,3.246331338800146,WARRIOR,PALADIN
76,6,1,3.3908992669561044,3.292437847672436,WARRIOR,PALADIN
77,6,1,3.5228490599218176,3.340479507853722,WARRIOR,PALADIN
78,6,1,3.6528824995465614,3.386546606614216,WARRIOR,PALADIN
79,6,1,3.7905750003589533,3.4340759685903777,WARRIOR,PALADIN
80,6,1,3.927058869538458,3.4808743172271006,WARRIOR,PALADIN
81,6,1,4.065736923537111,3.525595690389949,WARRIOR,PALADIN
82,6,1,4.207626993908153,3.5725574312456265,WARRIOR,PALADIN
83,6,1,4.344314575736541,3.620316341007279,WARRIOR,PALADIN
84,6,1,4.488520364077053,3.6959077804584517,WARRIOR,PALADIN
85,6,1,4.634754565640997,3.791324616745695,WARRIOR,PALADIN
86,6,1,4.7832450249192915,3.888573135129225,WARRIOR,PALADIN
87,6,1,4.935604873653676,3.9755255568154624,WARRIOR,PALADIN
88,6,1,5.0842381595033626,4.071202800712981,WARRIOR,PALADIN
89,6,1,5.240858693813588,4.172713541069961,WARRIOR,PALADIN
90,6,1,5.398966584458242,4.267225529062224,WARRIOR,PALADIN
91,6,1,5.5582905112514736,4.357545789517214,WARRIOR,PALADIN
92,6,1,5.719205107551839,4.455909227652555,WARRIOR,PALADIN
93,6,1,5.876243574012241,4.562152183170709,WARRIOR,PALADIN
94,6,1,6.03831847775238,4.668679082176896,WARRIOR,PALADIN
95,6,1,6.199093688904456,4.77430335912068,WARRIOR,PALADIN
96,6,1,6.362161425305524,4.871894544740241,WARRIOR,PALADIN
97,6,1,6.520077687049075,4.9633925033435,WARRIOR,PALADIN
98,6,1,6.681369794618908,5.069245552426738,WARRIOR,PALADIN
99,6,1,6.843466986799718,5.169493025986682,WARRIOR,PALADIN
100,6,1,7.006468490237983,5.270140603570916,WARRIOR,PALADIN
101,6,1,7.165625309832224,5.371498462989588,WARRIOR,PALADIN
102,6,1,7.321345802146517,5.464874388302299,WARRIOR,PALADIN
103,6,1,7.479252328455965,5.560281033304593,WARRIOR,PALADIN
104,6,1,7.633527258622097,5.657420171800687,WARRIOR,PALADIN
105,6,1,7.782640670479624,5.756707223673474,WARRIOR,PALADIN
106,6,1,7.922587706636208,5.829372138245303,WARRIOR,PALADIN
107,6,1,8.063534221943769,5.930750022379017,WARRIOR,PALADIN
108,6,1,8.200728668137636,6.014674815331866,WARRIOR,PALADIN
109,6,1,8.333683608983101,6.079345972208938,WARRIOR,PALADIN
110,6,1,8.458785015941018,6.153114421677097,WARRIOR,PALADIN
