level,class,hp,mp,dex,cha,cap_h,raw_proc_pct,search_s,sale_bonus_pct
70,MAGE,1292.0,2832.75,36.5,34.75,9.570372891356403,26.322818419806335,4.618422232569286,9.457991803278688
70,PALADIN,1311.75,1271.75,36.0,103.0,9.576378546280184,25.021246950173445,4.62083866837388,12.546255890339683
70,RANGER,1391.0,2016.25,102.0,35.0,9.596217755907936,25.828645712984745,4.442129493656015,9.47782258064516
70,ROGUE,1354.0,1320.0,100.5,31.75,9.588299639487392,25.09765342900651,4.444731060856876,9.138585529859819
70,WARRIOR,2838.25,1267.75,36.0,34.5,9.77956424282905,25.0152966260534,4.62083866837388,9.457627118644067
80,CLERIC,1718.75,3994.75,41.25,40.5,9.658704915726805,26.733523753683357,4.5953125,9.991708126036485
80,MAGE,1716.75,3994.75,41.25,40.5,9.658368818229153,26.733523753683357,4.5953125,9.991708126036485
80,PALADIN,1712.5,1681.25,40.25,121.25,9.658452291450427,25.522208150007692,4.599495471498896,12.86799690880839
80,RANGER,1865.0,2792.5,120.25,39.75,9.68284909568648,26.30425425088766,4.4192523859938895,9.93923611111111
80,ROGUE,1793.5,1748.5,123.0,37.0,9.67279047212577,25.59553368420063,4.41678630126895,9.688619833141967
80,WARRIOR,3991.5,1677.25,40.25,38.25,9.838048894101236,25.51809082738831,4.599495471498896,9.821115686909966
90,CLERIC,2201.25,5405.75,46.5,45.25,9.723495659797903,27.023890011436315,4.572917922594646,10.377197253370543
90,MAGE,2199.25,5405.75,46.5,45.25,9.723275299858877,27.023890011436315,4.572917922594646,10.377197253370543
90,PALADIN,2173.0,2167.25,45.0,140.5,9.720352935989508,25.933849430416508,4.5785990204648295,13.12848031679579
90,RANGER,2397.5,3738.25,141.5,45.25,9.744041057845976,26.661776267240825,4.398808790245185,10.377197253370543
90,ROGUE,2312.75,2231.5,141.75,41.75,9.736644783653182,25.984805345128226,4.3990402702959575,10.10051741147331
90,WARRIOR,5389.75,2163.25,45.0,42.25,9.877472270775513,25.930985535428505,4.5785990204648295,10.154947664276023
100,CLERIC,2738.75,7027.0,52.25,51.25,9.771835929759758,27.22748359381971,4.551808298809663,10.780604133545308
100,MAGE,2736.75,7027.0,52.25,51.25,9.771686066218642,27.22748359381971,4.551808298809663,10.780604133545308
100,PALADIN,2696.5,2691.5,49.25,165.25,9.768219057823124,26.249180046074663,4.562090672990063,13.378752936152186
100,RANGER,2977.25,4799.75,164.0,52.0,9.788450520660653,26.918146539698313,4.38201356447284,10.819065672006847
100,ROGUE,2895.75,2772.75,161.25,45.75,9.784009765463841,26.294481443006546,4.384211279507287,10.402097278660692
100,WARRIOR,7015.0,2687.5,49.25,50.75,9.904525988903186,26.247124795647125,4.562090672990063,10.72521805329724
