,,cap_h,cap_h,cap_h,raw_proc_pct,raw_proc_pct,raw_proc_pct,search_s,search_s,search_s,sale_bonus_pct,sale_bonus_pct,sale_bonus_pct
16,WARRIOR,8.116796,8.096112,8.134773,11.71625,11.191667,12.245,4.916667,4.886667,4.933333,1.8,0.666667,2.266667
17,CLERIC,8.10502,8.091528,8.123665,12.039375,11.265,12.316667,4.918333,4.9,4.933333,1.8,1.066667,2.666667
17,MAGE,8.103903,8.090373,8.122594,12.039375,11.265,12.311667,4.918333,4.9,4.933333,1.8,1.066667,2.666667
17,PALADIN,8.104029,8.085129,8.120446,11.735,11.21,12.263333,4.915,4.886667,4.926667,3.216667,2.0,4.0
17,RANGER,8.105508,8.092104,8.122594,11.757292,11.245,12.286667,4.853333,4.82,4.88,1.783333,1.066667,2.666667
17,ROGUE,8.102982,8.093827,8.115576,11.728958,11.201667,12.275,4.830833,4.806667,4.86,1.916667,1.466667,2.266667
17,WARRIOR,8.12238,8.100642,8.141535,11.853333,11.206667,12.256667,4.915,4.886667,4.926667,1.816667,0.666667,2.266667
18,CLERIC,8.11309,8.099514,8.13215,12.199167,11.33,12.353333,4.915,4.893333,4.933333,1.816667,1.066667,2.666667
18,MAGE,8.111994,8.098383,8.131097,12.199167,11.296667,12.353333,4.915,4.893333,4.933333,1.816667,1.066667,2.666667
18,PALADIN,8.111972,8.092104,8.128455,11.758958,11.235,12.293333,4.9125,4.886667,4.926667,3.416667,2.133333,4.266667
18,RANGER,8.113499,8.098949,8.131097,11.786875,11.271667,12.318333,4.845833,4.813333,4.873333,1.833333,1.066667,2.666667
18,ROGUE,8.110543,8.101204,8.12313,12.001667,11.225,12.298333,4.825,4.806667,4.86,1.933333,1.466667,2.266667
18,WARRIOR,8.133706,8.111753,8.1528,12.002292,11.228333,12.286667,4.9125,4.886667,4.926667,1.85,0.666667,2.4
19,CLERIC,8.117161,8.102327,8.136862,12.467292,11.35,13.373333,4.914167,4.893333,4.933333,1.85,1.2,2.666667
19,MAGE,8.116074,8.101204,8.135819,12.217292,11.313333,12.373333,4.914167,4.893333,4.933333,1.85,1.2,2.666667
19,PALADIN,8.116124,8.094971,8.132675,11.769167,11.243333,12.305,4.911667,4.886667,4.926667,3.583333,2.4,4.4
19,RANGER,8.11757,8.102888,8.135296,11.802917,11.283333,12.335,4.841667,4.806667,4.866667,1.883333,1.066667,2.666667
19,ROGUE,8.11424,8.105121,8.127394,12.013542,11.235,12.313333,4.8225,4.806667,4.86,1.933333,1.466667,2.266667
19,WARRIOR,8.139699,8.116663,8.158857,12.1375,11.281667,12.298333,4.911667,4.886667,4.926667,1.9,0.8,2.533333
20,CLERIC,8.125539,8.109554,8.147706,12.629792,12.35,13.415,4.91,4.886667,4.933333,1.883333,1.2,2.666667
20,MAGE,8.124471,8.10845,8.146682,12.254792,11.35,12.415,4.91,4.886667,4.933333,1.883333,1.2,2.666667
20,PALADIN,8.124184,8.101204,8.142568,12.167083,11.261667,13.283333,4.908333,4.88,4.92,3.766667,2.4,4.666667
20,RANGER,8.12569,8.110655,8.143599,12.208542,11.328333,13.36,4.833333,4.793333,4.866667,1.966667,1.2,2.666667
20,ROGUE,8.122154,8.112849,8.135296,12.162708,11.273333,12.335,4.816667,4.8,4.84,1.95,1.466667,2.266667
20,WARRIOR,8.151745,8.126863,8.171788,12.285417,11.303333,13.296667,4.908333,4.88,4.92,1.95,0.8,2.666667
21,CLERIC,8.12984,8.113395,8.153307,12.898333,12.366667,13.433333,4.908333,4.886667,4.933333,1.883333,1.2,2.666667
21,MAGE,8.128781,8.112301,8.152292,12.648333,12.366667,13.386667,4.908333,4.886667,4.933333,1.883333,1.2,2.666667
21,PALADIN,8.128158,8.104564,8.148217,12.428125,11.283333,13.35,4.9075,4.88,4.92,3.866667,2.666667,4.8
21,RANGER,8.129662,8.114487,8.147706,12.474167,11.346667,13.385,4.829167,4.793333,4.866667,1.966667,1.2,2.666667
21,ROGUE,8.12583,8.116663,8.138944,12.425417,12.27,13.35,4.814167,4.8,4.833333,1.95,1.466667,2.266667
21,WARRIOR,8.157864,8.132675,8.179138,12.421458,11.32,13.343333,4.9075,4.88,4.92,1.966667,0.933333,2.666667
22,CLERIC,8.13783,8.121521,8.162363,13.187917,12.443333,13.476667,4.908333,4.886667,4.933333,1.916667,1.2,2.666667
22,MAGE,8.136786,8.120446,8.161363,13.062917,12.4,13.475,4.908333,4.886667,4.933333,1.916667,1.2,2.666667
22,PALADIN,8.136234,8.112849,8.157851,12.828125,12.291667,13.38,4.904167,4.866667,4.92,4.116667,2.933333,5.066667
22,RANGER,8.137516,8.119907,8.157348,12.756875,12.346667,13.421667,4.8225,4.78,4.86,2.0,1.2,2.666667
22,ROGUE,8.134021,8.125267,8.146682,12.573542,12.291667,13.376667,4.8075,4.786667,4.826667,2.033333,1.466667,2.533333
22,WARRIOR,8.1702,8.14617,8.192182,12.571458,11.348333,13.373333,4.904167,4.866667,4.92,2.05,1.066667,2.666667
23,CLERIC,8.145966,8.128984,8.171295,13.478333,12.488333,14.518333,4.905,4.88,4.933333,1.966667,1.333333,2.8
23,MAGE,8.144938,8.127925,8.170308,13.228333,12.436667,13.518333,4.905,4.88,4.933333,1.966667,1.333333,2.8
23,PALADIN,8.144641,8.120446,8.166844,12.852083,12.31,13.411667,4.9025,4.866667,4.92,4.316667,3.333333,5.2
23,RANGER,8.145512,8.125799,8.167836,12.915208,12.396667,13.456667,4.811667,4.766667,4.853333,2.05,1.333333,2.8
23,ROGUE,8.142279,8.134773,8.155331,12.971667,12.31,13.401667,4.796667,4.766667,4.82,2.083333,1.466667,2.533333
23,WARRIOR,8.183147,8.158354,8.20548,12.845417,12.303333,13.405,4.9025,4.866667,4.92,2.083333,1.2,2.666667
24,CLERIC,8.150238,8.132675,8.177185,13.624167,12.51,14.54,4.904167,4.88,4.933333,1.966667,1.333333,2.8
24,MAGE,8.149217,8.131623,8.176207,13.374167,12.455,13.543333,4.904167,4.88,4.933333,1.966667,1.333333,2.8
24,PALADIN,8.148611,8.124199,8.170802,12.863542,12.321667,13.426667,4.900833,4.866667,4.92,4.4,3.466667,5.2
24,RANGER,8.149472,8.128984,8.17228,13.056667,12.41,13.478333,4.8075,4.766667,4.846667,2.05,1.333333,2.8
24,ROGUE,8.146331,8.138944,8.15986,13.109167,12.32,13.415,4.7925,4.76,4.813333,2.1,1.466667,2.533333
24,WARRIOR,8.189538,8.164358,8.211581,12.856875,12.315,13.42,4.900833,4.866667,4.92,2.083333,1.2,2.666667
25,CLERIC,8.157819,8.138944,8.186895,13.793333,12.555,14.588333,4.899167,4.88,4.92,2.016667,1.333333,2.933333
25,MAGE,8.156811,8.137904,8.18593,13.543333,12.498333,14.525,4.899167,4.88,4.92,2.016667,1.333333,2.933333
25,PALADIN,8.156525,8.131097,8.179625,12.888333,12.345,13.455,4.898333,4.866667,4.92,4.616667,3.6,5.333333
25,RANGER,8.157132,8.136341,8.181571,13.215208,12.438333,14.495,4.8,4.753333,4.84,2.116667,1.333333,2.933333
25,ROGUE,8.155487,8.147194,8.169815,13.25875,12.376667,13.441667,4.78,4.753333,4.806667,2.166667,1.6,2.533333
25,WARRIOR,8.202699,8.176696,8.225495,13.256667,12.418333,13.448333,4.898333,4.866667,4.92,2.15,1.333333,2.666667
26,CLERIC,8.161947,8.142568,8.192661,13.814792,12.58,14.611667,4.898333,4.88,4.92,2.033333,1.333333,2.933333
26,MAGE,8.160945,8.141535,8.191703,13.564792,12.516667,14.546667,4.898333,4.88,4.92,2.033333,1.333333,2.933333
26,PALADIN,8.160407,8.134249,8.183996,13.026667,12.36,13.471667,4.8975,4.866667,4.913333,4.7,3.6,5.333333
26,RANGER,8.160956,8.139463,8.18593,13.482708,12.471667,14.513333,4.7975,4.753333,4.84,2.133333,1.333333,2.933333
26,ROGUE,8.159512,8.150258,8.174246,13.270208,12.386667,13.453333,4.775833,4.753333,4.793333,2.2,1.733333,2.533333
26,WARRIOR,8.20928,8.182542,8.232372,13.27,12.435,13.465,4.8975,4.866667,4.913333,2.183333,1.333333,2.666667
27,CLERIC,8.170379,8.150258,8.202649,14.11,13.555,14.661667,4.8975,4.873333,4.92,2.066667,1.333333,2.933333
27,MAGE,8.16939,8.149239,8.201703,13.985,13.555,14.613333,4.8975,4.873333,4.92,2.066667,1.333333,2.933333
27,PALADIN,8.168568,8.142568,8.192182,13.677708,12.4,14.501667,4.895833,4.866667,4.913333,4.85,3.733333,5.733333
27,RANGER,8.169516,8.146682,8.197433,13.519167,12.51,14.548333,4.789167,4.74,4.826667,2.166667,1.333333,2.933333
27,ROGUE,8.167799,8.15634,8.183027,13.544167,13.373333,14.373333,4.765833,4.746667,4.78,2.233333,1.733333,2.533333
27,WARRIOR,8.222774,8.196004,8.245977,13.546042,12.458333,14.495,4.895833,4.866667,4.913333,2.233333,1.333333,2.8
28,CLERIC,8.178273,8.156844,8.212982,14.407083,13.596667,14.713333,4.895,4.873333,4.913333,2.1,1.466667,3.066667
28,MAGE,8.177295,8.155836,8.212048,14.407083,13.596667,14.713333,4.895,4.873333,4.913333,2.1,1.466667,3.066667
28,PALADIN,8.17687,8.150258,8.202176,13.955208,13.403333,14.535,4.893333,4.86,4.913333,5.033333,3.866667,6.0
28,RANGER,8.177235,8.1528,8.207362,13.931458,13.493333,14.621667,4.780833,4.733333,4.82,2.2,1.333333,3.066667
28,ROGUE,8.17574,8.16386,8.191703,14.19375,13.39,14.506667,4.755,4.726667,4.78,2.3,1.866667,2.666667
28,WARRIOR,8.236456,8.20877,8.261171,13.948542,13.396667,14.528333,4.893333,4.86,4.913333,2.283333,1.333333,2.933333
29,CLERIC,8.182219,8.15986,8.217638,14.555,13.618333,15.655,4.893333,4.873333,4.913333,2.1,1.466667,3.066667
29,MAGE,8.181247,8.158857,8.216709,14.555,13.618333,14.736667,4.893333,4.873333,4.913333,2.1,1.466667,3.066667
29,PALADIN,8.180886,8.153813,8.206892,13.967917,13.413333,14.55,4.890833,4.86,4.906667,5.133333,3.866667,6.133333
29,RANGER,8.181066,8.155836,8.211581,14.074792,13.538333,14.64,4.776667,4.733333,4.82,2.216667,1.466667,3.066667
29,ROGUE,8.180074,8.167836,8.196004,14.330625,13.446667,14.52,4.750833,4.72,4.773333,2.3,1.866667,2.666667
29,WARRIOR,8.243194,8.214847,8.268245,13.96125,13.406667,14.543333,4.890833,4.86,4.906667,2.316667,1.333333,2.933333
30,CLERIC,8.19029,8.165851,8.227334,14.854375,13.748333,15.786667,4.891667,4.873333,4.913333,2.133333,1.466667,3.066667
30,MAGE,8.189327,8.164856,8.226415,14.604375,13.666667,14.786667,4.891667,4.873333,4.913333,2.133333,1.466667,3.066667
30,PALADIN,8.188675,8.162363,8.217638,13.995833,13.438333,14.586667,4.890833,4.86,4.906667,5.366667,4.266667,6.4
30,RANGER,8.189091,8.162863,8.220882,14.23875,13.57,14.68,4.768333,4.72,4.806667,2.233333,1.466667,3.066667
30,ROGUE,8.188353,8.174246,8.205951,14.356042,13.47,14.546667,4.740833,4.706667,4.76,2.316667,2.0,2.666667
30,WARRIOR,8.256699,8.228711,8.28356,14.239167,13.431667,14.58,4.890833,4.86,4.906667,2.366667,1.466667,3.066667
31,CLERIC,8.198586,8.174246,8.236019,15.281458,14.711667,15.84,4.89,4.873333,4.913333,2.183333,1.466667,3.066667
31,MAGE,8.197634,8.173264,8.235109,15.156458,13.711667,15.793333,4.89,4.873333,4.913333,2.183333,1.466667,3.066667
31,PALADIN,8.196936,8.171295,8.227334,14.273333,13.473333,15.498333,4.89,4.86,4.906667,5.533333,4.4,6.666667
31,RANGER,8.197512,8.169815,8.230544,14.403958,13.606667,15.683333,4.759167,4.706667,4.793333,2.3,1.466667,3.066667
31,ROGUE,8.196725,8.182056,8.215778,14.507083,13.498333,15.451667,4.731667,4.7,4.753333,2.316667,2.0,2.666667
31,WARRIOR,8.271199,8.243271,8.298671,14.391667,13.56,14.611667,4.89,4.86,4.906667,2.4,1.466667,3.2
32,CLERIC,8.206902,8.181571,8.246427,15.582708,14.763333,15.891667,4.89,4.873333,4.913333,2.283333,1.6,3.2
32,MAGE,8.20596,8.180599,8.245526,15.207708,13.763333,15.848333,4.89,4.873333,4.913333,2.283333,1.6,3.2
32,PALADIN,8.205221,8.179625,8.237837,14.674375,13.511667,15.651667,4.885833,4.853333,4.906667,5.733333,4.533333,6.933333
32,RANGER,8.205669,8.176696,8.239652,14.819792,13.643333,15.718333,4.7525,4.693333,4.786667,2.366667,1.466667,3.2
32,ROGUE,8.204834,8.189784,8.224575,15.034792,14.463333,15.61,4.72,4.686667,4.74,2.35,2.0,2.666667
32,WARRIOR,8.285768,8.256726,8.31444,14.667708,13.586667,15.645,4.885833,4.853333,4.906667,2.45,1.466667,3.2
33,CLERIC,8.21123,8.184964,8.251366,15.608542,14.788333,15.92,4.89,4.873333,4.913333,2.316667,1.6,3.2
33,MAGE,8.210293,8.183996,8.25047,15.483542,14.788333,15.92,4.89,4.873333,4.913333,2.316667,1.6,3.2
33,PALADIN,8.209216,8.183027,8.242368,14.812708,13.526667,15.666667,4.885,4.853333,4.906667,5.816667,4.666667,6.933333
33,RANGER,8.210121,8.181085,8.245076,15.090625,14.641667,15.788333,4.7475,4.693333,4.78,2.416667,1.6,3.2
33,ROGUE,8.208768,8.193618,8.229628,15.049167,14.478333,15.623333,4.715833,4.68,4.733333,2.35,2.0,2.666667
33,WARRIOR,8.293008,8.263387,8.32204,14.681042,13.601667,15.66,4.885,4.853333,4.906667,2.466667,1.466667,3.2
34,CLERIC,8.21966,8.193139,8.261171,15.78875,14.841667,16.883333,4.8875,4.873333,4.913333,2.35,1.6,3.333333
34,MAGE,8.218731,8.192182,8.260284,15.66375,14.841667,15.98,4.8875,4.873333,4.913333,2.35,1.6,3.333333
34,PALADIN,8.217435,8.191224,8.250918,15.09,14.525,15.698333,4.884167,4.853333,4.906667,5.966667,4.666667,7.066667
34,RANGER,8.218557,8.188341,8.255389,15.132083,14.681667,15.835,4.738333,4.68,4.78,2.466667,1.6,3.333333
34,ROGUE,8.216812,8.199334,8.239652,15.325625,14.498333,15.648333,4.7075,4.673333,4.72,2.4,2.133333,2.666667
34,WARRIOR,8.307726,8.275711,8.336692,14.958333,13.633333,15.691667,4.884167,4.853333,4.906667,2.483333,1.466667,3.2
35,CLERIC,8.227996,8.200282,8.271765,16.093958,14.978333,17.035,4.8875,4.873333,4.913333,2.416667,1.6,3.333333
35,MAGE,8.227077,8.199334,8.270886,15.968958,14.896667,16.938333,4.8875,4.873333,4.913333,2.416667,1.6,3.333333
35,PALADIN,8.226324,8.199334,8.262058,15.117917,14.545,15.73,4.883333,4.853333,4.906667,6.166667,4.666667,7.333333
35,RANGER,8.226744,8.196481,8.264272,15.298958,14.745,15.878333,4.731667,4.68,4.766667,2.516667,1.6,3.333333
35,ROGUE,8.225308,8.207362,8.248675,15.478125,14.6,15.676667,4.699167,4.666667,4.72,2.45,2.133333,2.666667
35,WARRIOR,8.323172,8.290492,8.352832,15.48625,14.663333,15.723333,4.883333,4.853333,4.906667,2.55,1.466667,3.2
