class,seed_index,level,str,con,dex,int,wis,cha,hp,mp,tales,kills,seconds,bag,proc_pct,skill_damage_pct,skills,skill_uses,stat_power,equipment_power
RANGER,0,80,44,30,110,46,126,37,1482,3023,87,459261,9473400.0,84,20,337.4347826086956,17,152083,493,401
RANGER,0,90,49,33,132,52,147,42,1873,4036,108,575066,1.18329E7,92,20,362.08,19,172104,560,451
RANGER,0,100,56,36,159,60,161,45,2299,5170,129,701570,1.444386E7,102,20,343.2105263157895,20,191724,627,501
RANGER,1,1,9,11,8,8,9,11,10,7,0,0,0.0,19,9,95.0,1,0,1,1
RANGER,1,5,9,12,12,8,12,13,39,33,1,1089,26220.0,21,10,100.0,2,1120,20,21
RANGER,1,10,11,13,15,9,17,15,82,73,3,5940,144240.0,25,10,121.0,3,6490,44,48
RANGER,1,20,13,15,24,13,27,16,174,177,7,26953,636780.0,32,12,170.36363636363637,5,29464,102,99
RANGER,1,30,14,18,35,19,35,19,300,328,13,63008,1451760.0,39,13,207.69230769230768,7,50804,163,152
RANGER,1,40,15,21,43,22,53,22,452,560,21,114130,2570040.0,45,15,234.33333333333334,9,71569,225,200
RANGER,1,50,22,24,60,24,66,24,675,902,33,180188,3957840.0,55,18,231.2,11,91698,294,249
RANGER,1,60,27,27,82,28,83,25,955,1389,49,261137,5573100.0,63,20,292.6842105263158,13,112458,363,306
RANGER,1,70,29,36,101,32,102,28,1298,2021,67,354570,7442760.0,70,20,316.7142857142857,15,132055,430,351
RANGER,1,80,35,44,129,34,115,31,1767,2789,87,459300,9567060.0,79,20,340.0869565217391,17,152198,498,401
RANGER,1,90,39,53,148,36,139,35,2332,3693,108,575109,1.19265E7,87,20,362.12,19,172017,564,451
RANGER,1,100,49,59,167,41,156,40,2989,4709,129,701611,1.453968E7,98,20,327.42105263157896,20,191619,629,505
MAGE,0,1,12,11,11,10,8,9,6,9,0,0,0.0,21,9,95.0,1,0,1,1
MAGE,0,5,12,11,11,16,11,10,33,37,1,1082,26640.0,23,10,115.0,2,1215,23,20
MAGE,0,10,13,12,13,21,16,10,71,88,3,5921,138720.0,26,11,120.0,3,6206,52,49
MAGE,0,20,15,14,17,25,29,13,164,220,7,26941,629280.0,33,12,170.63636363636363,5,29181,105,98
MAGE,0,30,16,20,19,36,39,15,286,423,13,62994,1439580.0,40,14,187.66666666666666,7,50888,167,152
MAGE,0,40,20,21,24,46,53,17,455,723,21,114121,2551800.0,48,16,210.0,9,71751,229,199
MAGE,0,50,25,27,27,56,68,22,684,1174,33,180205,3930000.0,56,17,266.29411764705884,11,91710,291,251
MAGE,0,60,27,32,34,70,87,27,1005,1834,49,261156,5564880.0,63,20,286.36842105263156,13,112449,357,301
MAGE,0,70,31,36,37,88,109,32,1387,2702,67,354591,7433040.0,71,20,272.57142857142856,15,132231,426,352
MAGE,0,80,36,42,43,116,120,36,1862,3840,87,459319,9557160.0,80,20,336.5652173913044,17,152028,494,402
MAGE,0,90,45,44,49,142,133,42,2388,5214,108,575123,1.191696E7,90,20,313.1666666666667,19,172055,561,451
MAGE,0,100,50,50,52,166,150,49,2950,6790,129,701632,1.452804E7,99,20,324.6842105263158,20,191717,628,500
MAGE,1,1,9,11,8,8,9,11,6,9,0,0,0.0,19,9,95.0,1,0,1,1
MAGE,1,5,9,12,9,11,12,13,35,36,1,1088,26580.0,21,9,115.0,2,1154,19,21
MAGE,1,10,11,13,10,14,17,15,78,80,3,5938,144660.0,25,10,134.22222222222223,3,6474,43,48
MAGE,1,20,13,15,13,24,27,16,170,203,7,26953,638040.0,32,12,161.5,5,29230,102,99
MAGE,1,30,14,18,15,39,35,19,296,395,13,63008,1451880.0,39,14,187.66666666666666,7,50960,168,152
MAGE,1,40,15,21,19,46,53,22,448,690,21,114128,2567220.0,45,16,210.0,9,71616,229,200
MAGE,1,50,22,24,22,62,66,24,671,1146,33,180189,3931680.0,55,18,263.8235294117647,11,91418,295,249
MAGE,1,60,27,27,31,79,83,25,951,1827,49,261137,5546520.0,63,20,292.6842105263158,13,112488,362,306
MAGE,1,70,29,36,38,95,102,28,1294,2726,67,354571,7415640.0,70,20,272.5,15,132015,427,351
MAGE,1,80,35,44,48,115,115,31,1763,3858,87,459300,9540000.0,79,20,292.9375,17,152255,493,401
MAGE,1,90,39,53,53,131,139,35,2328,5211,108,575110,1.189932E7,87,20,362.84,19,171977,559,451
MAGE,1,100,49,59,56,152,156,40,2985,6764,129,701611,1.451208E7,98,20,324.57894736842104,20,191544,625,505
CLERIC,0,1,12,11,11,10,8,9,8,9,0,0,0.0,21,9,95.0,1,0,1,1
CLERIC,0,5,12,11,11,15,12,10,35,37,1,1082,26940.0,23,10,100.0,2,1192,21,20
CLERIC,0,10,13,12,13,21,16,10,73,88,3,5920,142080.0,26,10,134.11111111111111,3,6331,48,49
CLERIC,0,20,15,14,17,33,21,13,166,220,7,26943,635160.0,33,12,170.27272727272728,5,29137,101,98
CLERIC,0,30,16,20,19,46,29,15,288,423,13,62995,1449780.0,40,13,187.5,7,50820,161,152
CLERIC,0,40,20,21,24,58,41,17,457,723,21,114120,2567100.0,48,15,234.33333333333334,9,71638,225,199
CLERIC,0,50,25,27,27,74,50,22,686,1174,33,180205,3967020.0,56,17,259.29411764705884,11,92048,287,251
CLERIC,0,60,27,32,34,88,69,27,1007,1834,49,261156,5618580.0,63,20,290.63157894736844,13,112621,357,301
CLERIC,0,70,31,36,37,110,87,32,1389,2702,67,354589,7486800.0,71,20,272.57142857142856,15,132202,425,352
CLERIC,0,80,36,42,43,126,110,36,1864,3840,87,459319,9611400.0,80,20,341.7826086956522,17,152022,493,402
CLERIC,0,90,45,44,49,137,138,42,2390,5214,108,575125,1.197084E7,90,20,357.28,19,171986,561,451
CLERIC,0,100,50,50,52,156,160,49,2952,6790,129,701633,1.458222E7,99,20,324.7368421052632,20,191795,627,500
CLERIC,1,1,9,11,8,8,9,11,8,9,0,0,0.0,19,9,95.0,1,0,1,1
CLERIC,1,5,9,12,9,10,13,13,37,36,1,1089,26220.0,21,10,100.0,2,1120,20,21
CLERIC,1,10,11,13,10,16,15,15,80,80,3,5940,144240.0,25,10,121.0,3,6490,43,48
CLERIC,1,20,13,15,13,28,23,16,172,203,7,26953,637740.0,32,12,161.25,5,29193,101,99
CLERIC,1,30,14,18,15,41,33,19,298,395,13,63007,1452900.0,39,13,207.69230769230768,7,50818,164,152
CLERIC,1,40,15,21,19,58,41,22,450,690,21,114129,2572140.0,45,15,210.0,9,71494,225,200
CLERIC,1,50,22,24,22,68,60,24,673,1146,33,180189,3947160.0,55,18,231.0,11,91485,294,249
CLERIC,1,60,27,27,31,85,77,25,953,1827,49,261140,5564100.0,63,20,284.2631578947368,13,112437,361,306
CLERIC,1,70,29,36,38,105,92,28,1296,2726,67,354573,7433820.0,70,20,314.8095238095238,15,132051,427,351
CLERIC,1,80,35,44,48,119,111,31,1765,3858,87,459298,9557940.0,79,20,336.60869565217394,17,152232,492,401
CLERIC,1,90,39,53,53,138,132,35,2330,5211,108,575111,1.191756E7,87,20,358.88,19,171998,559,451
CLERIC,1,100,49,59,56,158,150,40,2987,6764,129,701609,1.453026E7,98,20,327.42105263157896,20,191615,624,505
PALADIN,0,1,12,11,11,10,8,9,10,7,0,0,0.0,21,9,95.0,1,0,1,1
PALADIN,0,5,14,12,11,12,9,13,38,34,1,1085,26460.0,24,10,115.0,2,1208,22,21
PALADIN,0,10,20,14,11,14,10,16,88,76,3,5903,141420.0,30,11,132.55555555555554,3,6359,51,49
PALADIN,0,20,32,15,13,17,12,24,176,169,7,26921,612900.0,42,12,160.0,5,28271,111,102
PALADIN,0,30,44,17,17,22,13,32,307,283,13,62968,1398600.0,54,14,202.53846153846155,7,50647,172,152
PALADIN,0,40,61,18,21,22,15,44,446,445,21,114106,2464740.0,68,17,209.625,9,71059,237,203
PALADIN,0,50,78,22,25,26,19,55,648,640,33,180181,3784800.0,83,19,261.6470588235294,11,91934,302,253
PALADIN,0,60,96,26,33,27,24,71,910,899,49,261150,5388000.0,98,20,282.5263157894737,13,112470,367,302
PALADIN,0,70,116,28,36,38,29,86,1225,1220,67,354585,7251420.0,111,20,272.57142857142856,15,132270,433,352
PALADIN,0,80,138,31,41,42,35,106,1567,1659,87,459314,9370260.0,123,20,340.04347826086956,17,152150,500,401
PALADIN,0,90,155,36,50,44,44,126,1974,2160,108,575116,1.172604E7,135,20,355.68,19,172092,564,458
PALADIN,0,100,177,38,54,49,50,149,2434,2704,129,701618,1.43334E7,147,20,331.6842105263158,20,191802,630,501
PALADIN,1,1,9,11,8,8,9,11,10,7,0,0,0.0,19,9,95.0,1,0,1,1
PALADIN,1,5,16,12,9,8,9,12,35,31,1,1085,25920.0,25,10,100.0,2,1169,23,19
PALADIN,1,10,21,13,9,12,10,15,84,65,3,5922,138480.0,30,11,120.0,3,6223,51,51
PALADIN,1,20,30,13,9,14,13,29,169,151,7,26924,612720.0,41,12,170.0909090909091,5,28610,111,99
PALADIN,1,30,41,16,16,16,14,37,280,261,13,62984,1398000.0,52,14,187.33333333333334,7,50729,171,149
PALADIN,1,40,61,22,18,16,16,43,446,403,21,114119,2467020.0,68,17,209.625,9,70977,237,200
PALADIN,1,50,77,28,20,20,19,56,672,581,33,180184,3788820.0,82,19,231.1,11,91691,302,252
PALADIN,1,60,93,30,25,22,25,77,980,814,49,261150,5391300.0,96,20,291.6842105263158,13,112539,367,301
PALADIN,1,70,108,34,28,30,28,100,1323,1108,67,354592,7255500.0,110,20,315.76190476190476,15,132061,432,352
PALADIN,1,80,124,39,35,34,32,124,1735,1483,87,459317,9374280.0,123,20,332.2608695652174,17,152150,498,400
PALADIN,1,90,138,41,42,44,37,148,2209,1936,108,575121,1.17285E7,135,20,359.68,19,172049,562,452
PALADIN,1,100,159,45,49,48,41,170,2730,2441,129,701615,1.433676E7,147,20,336.89473684210526,20,191605,628,504
