hero_class,gap_h,session_min,calendar_days,sale_gold_per_day
RANGER,8,20,154.1185763888889,5532138.652440006
MAGE,8,20,156.59236111111113,5447749.197003897
CLERIC,8,20,159.23038194444445,5708521.4102993235
PALADIN,8,20,162.42048611111113,5593480.100647538
WARRIOR,9,1,3173.059036596325,267936.12400353176
ROGUE,9,1,3326.7634722372095,255298.1233375286
RANGER,9,1,3255.690201159407,261881.59217249008
MAGE,9,1,3310.5102515251574,257687.13723420326
CLERIC,9,1,3365.4645432049174,270087.5415060507
PALADIN,9,1,3417.1016553468157,265867.34859890875
WARRIOR,9,5,639.30394637523,1329848.1017056026
ROGUE,9,5,670.2721228721919,1267121.8782165411
RANGER,9,5,655.9523695496772,1299797.6272047444
MAGE,9,5,666.9974443923145,1278979.277465174
CLERIC,9,5,678.0695660061662,1340526.2381171877
PALADIN,9,5,688.4733464561974,1319580.1430459602
WARRIOR,9,12,269.79799571798696,3151161.8062154497
ROGUE,9,12,282.86713442312686,3002527.928817456
RANGER,9,12,276.82393577325826,3079955.247072112
MAGE,9,12,281.4851600187749,3030624.809645739
CLERIC,9,12,286.15779849801515,3176464.3468429004
PALADIN,9,12,290.5483847429824,3126831.208521949
WARRIOR,9,20,168.09958605865708,5057580.208456534
ROGUE,9,20,172.17999486625115,4932724.45448582
RANGER,9,20,168.50152612285285,5059926.477332755
MAGE,9,20,171.33879305490646,4978883.615846571
CLERIC,9,20,174.18300778140053,5218477.141241907
PALADIN,9,20,176.8555385392067,5136936.985428916
WARRIOR,10,1,3524.9694657937,241187.09332098282
ROGUE,10,1,3695.7206040934625,229810.78989285015
RANGER,10,1,3616.764899994092,235737.00726342283
MAGE,10,1,3677.6648080713853,231961.2999063294
CLERIC,10,1,3738.713845593632,243123.72704621207
PALADIN,10,1,3796.077809359401,239324.85123462506
WARRIOR,10,5,709.6860322147048,1197962.3395529808
ROGUE,10,5,744.0635492434424,1141456.8985587023
RANGER,10,5,728.167309316614,1170892.0773993153
MAGE,10,5,740.4283557015601,1152138.3573859832
CLERIC,10,5,752.7194264839094,1207581.4872295323
PALADIN,10,5,764.2685772587147,1188712.690843055
WARRIOR,10,12,299.12386481776815,2842224.374233543
ROGUE,10,12,313.6135620778145,2708162.445600059
RANGER,10,12,306.91349400948195,2777998.8503003363
MAGE,10,12,312.08137306429387,2733504.730268706
CLERIC,10,12,317.26190703040805,2865046.2736230087
PALADIN,10,12,322.1297309106979,2820279.1292550913
WARRIOR,10,20,181.82038841864335,4675917.518900346
ROGUE,10,20,190.62785145906378,4455364.0234065475
RANGER,10,20,186.55526106458706,4570256.173074747
MAGE,10,20,189.69652088221787,4497056.169151741
CLERIC,10,20,192.84547290083628,4713463.22434753
PALADIN,10,20,195.80434623983604,4639814.05135515
WARRIOR,12,1,4228.790324188447,201044.99734522984
ROGUE,12,1,4433.634867805968,191562.1147373134
RANGER,12,1,4338.914297663461,196501.99911971862
MAGE,12,1,4411.973921163842,193354.70352802216
CLERIC,12,1,4485.212450371063,202659.30645599644
PALADIN,12,1,4554.030117384573,199492.6984632589
WARRIOR,12,5,850.4502038936548,999678.9178338666
ROGUE,12,5,891.6464019859434,952526.1015558826
RANGER,12,5,872.597188850488,977089.2507952906
MAGE,12,5,887.2901783200514,961439.5947841654
CLERIC,12,5,902.0191474393955,1007705.9307225754
PALADIN,12,5,915.859038863749,991960.2454621355
WARRIOR,12,12,357.77560301733047,2376285.9522280446
ROGUE,12,12,375.10641738718994,2264201.388944311
RANGER,12,12,367.09261048192946,2322589.2027101167
MAGE,12,12,373.27379915533186,2285389.200716459
CLERIC,12,12,379.47012409519397,2395366.55663563
PALADIN,12,12,385.2924232461289,2357938.288393601
WARRIOR,12,20,217.01143133838085,3917660.623943532
ROGUE,12,20,227.52356464468897,3732872.560151432
RANGER,12,20,222.66273094805553,3829133.5504139774
MAGE,12,20,226.4119765368407,3767803.8173974045
CLERIC,12,20,230.1704031397078,3949117.8366154986
PALADIN,12,20,233.70196164109458,3887411.7727570175
WARRIOR,16,1,5636.432040977945,150836.04899678534
ROGUE,16,1,5909.463395230975,143721.42010988866
RANGER,16,1,5783.213093002198,147427.61848628218
MAGE,16,1,5880.592147348752,145066.328037153
CLERIC,16,1,5978.209659925925,152047.2007854042
PALADIN,16,1,6069.934733434915,149671.42101145646
WARRIOR,16,5,1131.9785472515537,751054.1092534235
ROGUE,16,5,1186.8121074709454,715628.4182673729
RANGER,16,5,1161.4569479182355,734082.5977477573
MAGE,16,5,1181.0138235570337,722325.0841642694
CLERIC,16,5,1200.6185893503675,757084.7666050439
PALADIN,16,5,1219.0399620738176,745255.1066943506
WARRIOR,16,12,475.0790794164553,1789548.6800729716
ROGUE,16,12,498.0921280059407,1705139.317600037
RANGER,16,12,487.45084342682424,1749110.3872261378
MAGE,16,12,495.65865133740795,1721095.5709099257
CLERIC,16,12,503.88655822476574,1803918.0241330054
PALADIN,16,12,511.61780791699084,1775731.3036050573
WARRIOR,16,20,287.39351717785564,2958233.5323655247
ROGUE,16,20,301.3149910159394,2818699.6882776124
RANGER,16,20,294.8776707149924,2891386.558475861
MAGE,16,20,299.8428878460862,2845076.351912327
CLERIC,16,20,304.82026361745085,2981986.9378525196
PALADIN,16,20,309.4971924436117,2935392.563102238
WARRIOR,24,1,8451.715474556939,100592.25751971596
ROGUE,24,1,8861.120450080994,95847.52583317348
RANGER,24,1,8671.810683679676,98319.18207169823
MAGE,24,1,8817.82859971858,96744.4422232505
CLERIC,24,1,8964.204079035646,101399.97221011344
PALADIN,24,1,9101.743965535603,99815.56946010384
WARRIOR,24,5,1695.0352339673525,501569.0072176842
ROGUE,24,5,1777.1435184409493,477911.01981177495
RANGER,24,5,1739.1764660537312,490235.091229471
MAGE,24,5,1768.4611140309985,482383.18769447756
CLERIC,24,5,1797.817473172312,505596.4012275898
PALADIN,24,5,1825.4018084939546,497696.3169273691
WARRIOR,24,12,709.6860322147047,1197962.339552981
ROGUE,24,12,744.0635492434424,1141456.8985587023
RANGER,24,12,728.167309316614,1170892.0773993153
MAGE,24,12,740.4283557015601,1152138.3573859832
CLERIC,24,12,752.7194264839094,1207581.4872295323
PALADIN,24,12,764.2685772587147,1188712.690843055
WARRIOR,24,20,428.1576888568053,1985663.6039165852
ROGUE,24,20,448.89784375844044,1892003.9003507257
RANGER,24,20,439.3075502488663,1940793.717333112
MAGE,24,20,446.7047104645775,1909708.7841603288
CLERIC,24,20,454.119984572937,2001607.6706133347
PALADIN,24,20,461.087654048646,1970331.9944110913
