mode,level,hero_class,cap_h,raw_proc_pct,search_s,sale_bonus_pct,bag,hp,mp
level_ramp,80,WARRIOR,9.227244171467156,22.41018964160456,4.7778985042567825,4.350223255256667,121.625,4009.375,1706.4375
level_ramp,90,CLERIC,8.81595494150847,25.869282798352177,4.7309563735346,17.39559219117722,88.6875,2168.4375,3817.6875
level_ramp,90,MAGE,8.815350400943778,28.797850686853593,4.7309563735346,5.611481351992651,88.6875,2166.4375,5395.625
level_ramp,90,PALADIN,8.847332703950691,23.383607950840226,4.730187677458984,17.203418172273363,134.75,2271.25,2200.875
level_ramp,90,RANGER,8.82519002379673,25.753113603924795,4.1183056012691,5.57304654821188,89.125,2198.8125,3742.125
level_ramp,90,ROGUE,8.886777217722772,23.274933543150098,4.136369959046062,5.419307333088794,134.375,2403.75,2130.1875
level_ramp,90,WARRIOR,9.700807507542716,23.377458382235304,4.730187677458984,5.357811647039559,134.75,5422.625,2196.875
level_ramp,100,CLERIC,9.0583060134963,28.206145833333334,4.6691666666666665,19.875,96.8125,2713.0,4923.6875
level_ramp,100,MAGE,9.057679455989604,32.941197640104264,4.6691666666666665,6.775,96.8125,2711.0,7035.4375
level_ramp,100,PALADIN,9.09229660520697,24.581249999999997,4.661250000000001,19.933333333333334,146.9375,2820.5625,2748.75
level_ramp,100,RANGER,9.068476599144894,28.033229166666665,4.0008333333333335,6.775,97.1875,2745.25,4819.9375
level_ramp,100,ROGUE,9.1443183984198,24.42458333333333,4.005833333333333,6.449999999999999,147.0,2988.5625,2654.75
level_ramp,100,WARRIOR,10.0,24.574583333333333,4.661250000000001,6.425,146.9375,7048.75,2744.75
level_envelope,1,CLERIC,8.01050162353799,9.5165625,4.93,1.6083333333333334,19.8125,8.5,9.9375
level_envelope,1,MAGE,8.008462164113054,9.13183779892572,4.93,1.6083333333333334,19.8125,6.5,9.9375
level_envelope,1,PALADIN,8.012443602478525,9.263229166666667,4.93,1.6083333333333334,19.8125,10.5,7.9375
level_envelope,1,RANGER,8.012443602478525,9.325729166666667,4.93,1.6083333333333334,19.8125,10.5,7.9375
level_envelope,1,ROGUE,8.01050162353799,9.134895833333333,4.93,1.6083333333333334,19.8125,8.5,5.9375
level_envelope,1,WARRIOR,8.012443602478525,9.256562500000001,4.93,1.6083333333333334,19.8125,10.5,3.9375
level_envelope,20,CLERIC,8.120070788486313,12.649687499999999,4.904583333333333,3.8120834005882047,33.0,180.3125,202.3125
level_envelope,20,MAGE,8.11905495987531,12.442030139010365,4.904583333333333,2.216666666666667,33.0,178.3125,230.875
level_envelope,20,PALADIN,8.122706168060775,12.537604166666666,4.902916666666667,3.7765000269019486,39.75,185.0625,172.5625
level_envelope,20,RANGER,8.122701946698898,12.458958333333335,4.822424998654903,2.216666666666667,33.125,185.25,200.375
level_envelope,20,ROGUE,8.121495426685138,12.2821875,4.821933330643137,2.2249999999999996,39.375,183.125,169.3125
level_envelope,20,WARRIOR,8.139441094064146,12.405937499999999,4.902916666666667,2.1833333333333336,39.75,238.25,168.5625
level_envelope,40,CLERIC,8.255081872862878,17.30770833333333,4.864166666666667,6.821605677210492,48.25,458.25,597.125
level_envelope,40,MAGE,8.25418717474641,16.85353362095129,4.864166666666667,3.091666666666667,48.25,456.25,744.875
level_envelope,40,PALADIN,8.260970078467512,16.74666666666667,4.8620833333333335,6.674537591241203,63.0625,470.9375,448.0
level_envelope,40,RANGER,8.260082238243887,17.1003125,4.66502312043794,3.033333333333333,48.4375,469.375,585.1875
level_envelope,40,ROGUE,8.26436718120302,16.484895833333333,4.670439787104606,2.9916666666666667,62.0,478.75,440.9375
level_envelope,40,WARRIOR,8.381718038181118,16.677500000000002,4.8620833333333335,2.8916666666666666,63.0625,757.8125,444.0
level_envelope,60,CLERIC,8.45127415940155,22.375,4.80375,10.770543763370476,64.5,935.0625,1425.0
level_envelope,60,MAGE,8.450498477936994,22.871048638996843,4.80375,4.241666666666667,64.5,933.0625,1899.4375
level_envelope,60,PALADIN,8.469237887941278,21.5678125,4.80625,10.662581783089603,90.9375,980.625,940.6875
level_envelope,60,RANGER,8.45879145006785,22.325729166666665,4.466852343192897,4.175,64.625,954.4375,1395.4375
level_envelope,60,ROGUE,8.484356522477054,21.533958333333334,4.469731874554318,4.1,90.4375,1020.25,920.375
level_envelope,60,WARRIOR,8.793705719967747,21.56114583333333,4.80625,4.058333333333334,90.9375,1925.8125,936.6875
level_envelope,80,CLERIC,8.723465722054964,24.754375,4.739166666666667,15.146859800066743,80.5,1686.75,2852.625
level_envelope,80,MAGE,8.722776467263479,26.709713627285794,4.739166666666667,5.475,80.5,1684.75,3973.9375
level_envelope,80,PALADIN,8.753285519793327,22.850729166666667,4.737916666666667,15.0595007156134,121.625,1772.3125,1710.4375
level_envelope,80,RANGER,8.733459949102356,24.663645833333334,4.238590987107996,5.441666666666666,80.8125,1715.625,2798.1875
level_envelope,80,ROGUE,8.787404239235844,22.76625,4.244007653774663,5.275,119.4375,1872.9375,1659.75
level_envelope,80,WARRIOR,9.341027554911618,22.8440625,4.737916666666667,5.133333333333334,121.625,4009.375,1706.4375
level_envelope,90,CLERIC,8.88456604999924,26.3628125,4.708333333333334,17.45646429256586,88.6875,2168.4375,3817.6875
level_envelope,90,MAGE,8.883910675502229,29.53763453673794,4.708333333333334,6.083333333333333,88.6875,2166.4375,5395.625
level_envelope,90,PALADIN,8.918582270711156,23.668125000000003,4.7075,17.452824609112636,134.75,2271.25,2200.875
level_envelope,90,RANGER,8.894577681580317,26.236874999999998,4.121877459952043,6.041666666666667,89.125,2198.8125,3742.125
level_envelope,90,ROGUE,8.96134355073601,23.5503125,4.1267601187050404,5.875,134.375,2403.75,2130.1875
level_envelope,90,WARRIOR,9.657878705979996,23.661458333333336,4.7075,5.808333333333334,134.75,5422.625,2196.875
level_envelope,100,CLERIC,9.0583060134963,28.206145833333334,4.6691666666666665,19.875,96.8125,2713.0,4923.6875
level_envelope,100,MAGE,9.057679455989604,32.941197640104264,4.6691666666666665,6.775,96.8125,2711.0,7035.4375
level_envelope,100,PALADIN,9.09229660520697,24.581249999999997,4.661250000000001,19.933333333333334,146.9375,2820.5625,2748.75
level_envelope,100,RANGER,9.068476599144894,28.033229166666665,4.0008333333333335,6.775,97.1875,2745.25,4819.9375
level_envelope,100,ROGUE,9.1443183984198,24.42458333333333,4.005833333333333,6.449999999999999,147.0,2988.5625,2654.75
level_envelope,100,WARRIOR,10.0,24.574583333333333,4.661250000000001,6.425,146.9375,7048.75,2744.75
