cohort,level,characters,entry_mean_plus4,entry_mean_plus5,max_high_slots,characters_full_ever,actions,observed_millis,full_set_millis,full_set_time_percent
natural,81,24,0.5833,0.7083,3,0,2413135,5155317916,0,0.0
natural,82,24,0.7083,0.7083,3,0,2351827,5024349592,0,0.0
natural,83,24,0.7917,0.7083,4,0,2442181,5216508860,0,0.0
natural,84,24,0.75,0.7917,5,0,2467076,5272062522,0,0.0
natural,85,24,0.625,0.9167,5,0,2474625,5303402344,0,0.0
natural,86,24,0.625,0.875,5,0,2502037,5360941101,0,0.0
natural,87,24,0.4583,0.8333,5,0,2454059,5232097289,0,0.0
natural,88,24,0.5,0.7917,4,0,2632752,5548685898,0,0.0
natural,89,24,0.7083,0.8333,5,0,2662428,5610394417,0,0.0
natural,90,24,0.625,0.9583,5,0,2664162,5630064178,0,0.0
natural,91,24,0.7083,0.8333,5,0,2672936,5643707207,0,0.0
natural,92,24,0.9583,0.7917,4,0,2642694,5580940480,0,0.0
natural,93,24,0.9583,0.7917,4,0,2726267,5755528364,0,0.0
natural,94,24,0.9583,0.875,4,0,2755083,5814911364,0,0.0
natural,95,24,1.0,0.875,4,0,2755627,5835605861,0,0.0
natural,96,24,1.0417,0.9583,4,0,2680761,5675030862,0,0.0
natural,97,24,0.9583,0.8333,4,0,2755376,5833403333,0,0.0
natural,98,24,0.75,1.0417,4,0,2782436,5891858181,0,0.0
natural,99,24,0.9167,1.0833,4,0,2804994,5940620026,0,0.0
natural,100,24,0.9167,1.0,4,0,2828657,5988430577,0,0.0
natural,101,24,1.0833,0.9167,4,0,2839389,5959650876,0,0.0
natural,102,24,1.2083,1.0833,4,0,2996581,6252288747,0,0.0
natural,103,24,1.25,1.125,4,0,3024535,6310941728,0,0.0
natural,104,24,1.125,1.125,4,0,3055211,6375599706,0,0.0
natural,105,24,0.9167,1.25,4,0,2965286,6190375760,0,0.0
natural,106,24,0.9583,1.2083,4,0,3053254,6374910054,0,0.0
natural,107,24,0.7917,1.2083,4,0,3082856,6437290776,0,0.0
natural,108,24,0.875,1.0833,4,0,3109555,6493885282,0,0.0
natural,109,24,1.0,1.0,5,0,3085370,6445631154,0,0.0
natural,110,24,0.9167,1.0,4,0,3100260,6477246232,0,0.0
natural,111,24,1.0417,1.0417,4,0,3170007,6622388259,0,0.0
natural,112,24,1.0,0.875,4,0,3198732,6680576188,0,0.0
natural,113,24,1.0,0.9583,4,0,3228261,6743386200,0,0.0
natural,114,24,0.875,0.7917,5,0,3184607,6607158720,0,0.0
natural,115,24,0.7917,0.9583,4,0,3372105,6947534907,0,0.0
natural,116,24,0.8333,0.875,4,0,3396440,7000884205,0,0.0
natural,117,24,0.875,0.9583,6,1,3428245,7063861483,101959910,1.443402
natural,118,24,1.125,1.1667,6,1,3356893,6913707381,287534990,4.158912
natural,119,24,1.25,1.2083,6,1,3463665,7137309660,296474420,4.153868
natural,120,24,1.2917,1.0833,6,1,3493609,7199204899,4178720,0.058044
natural,121,24,1.25,1.0417,5,0,3529648,7268733792,0,0.0
natural,122,24,1.3333,0.875,4,0,3439445,7083203445,0,0.0
natural,123,24,1.25,0.8333,4,0,3527137,7265614725,0,0.0
natural,124,24,1.25,0.75,4,0,3558913,7327914895,0,0.0
natural,125,24,1.0417,0.6667,4,0,3590327,7390390260,0,0.0
natural,126,24,1.0,0.75,4,0,3537204,7281772432,0,0.0
natural,127,24,1.1667,0.9583,5,0,3743114,7618065033,0,0.0
natural,128,24,1.0833,1.0,5,0,3804831,7734984755,0,0.0
natural,129,24,1.0,1.1667,5,0,3836559,7797336240,0,0.0
natural,130,24,0.9167,1.2917,5,0,3798965,7719436132,0,0.0
natural,131,24,0.7917,1.3333,5,0,3795830,7715889230,0,0.0
natural,132,24,0.8333,1.3333,6,1,3870878,7865228609,52087690,0.662253
natural,133,24,1.125,1.5,6,1,3899874,7925715789,346204580,4.368118
natural,134,24,1.125,1.5,6,1,3885964,7895544469,345924951,4.381268
natural,135,24,1.25,1.4167,6,1,3879282,7880149503,344260480,4.368705
natural,136,24,1.4167,1.375,6,1,3966718,8058987967,343960,0.004268
natural,137,24,0.9583,1.4583,5,0,3994134,8115708872,0,0.0
natural,138,24,0.9583,1.4583,4,0,3986063,8098132808,0,0.0
natural,139,24,0.9583,1.3333,4,0,4036022,8131257150,0,0.0
natural,140,24,0.7917,1.375,5,0,4181464,8396300272,0,0.0
natural,141,24,1.1667,1.2917,5,0,4213798,8459263956,0,0.0
natural,142,24,1.0833,1.375,6,1,4216756,8465100288,85166800,1.006093
natural,143,24,1.2083,1.2083,6,1,4173371,8378256132,28387400,0.338822
natural,144,24,1.25,1.375,5,0,4279073,8588532269,0,0.0
natural,145,24,1.3333,1.375,5,0,4310235,8652154903,0,0.0
natural,146,24,1.5,1.4167,5,0,4305734,8642616655,0,0.0
natural,147,24,1.375,1.625,5,0,4239197,8505493763,0,0.0
natural,148,24,1.4583,1.5417,5,0,4343567,8713068023,0,0.0
natural,149,24,1.2917,1.7917,5,0,4376404,8779071622,0,0.0
natural,150,24,1.2917,1.875,5,0,0,0,0,
synthetic_high,300,6,0.0,0.0,3,0,2788289,5185456016,0,0.0
synthetic_high,301,6,0.5,0.3333,4,0,2749138,5152535700,0,0.0
synthetic_high,302,6,1.1667,0.6667,4,0,2631059,4969774230,0,0.0
synthetic_high,303,6,2.1667,0.8333,4,0,2659884,5029881370,0,0.0
synthetic_high,304,6,2.1667,1.0,5,0,2609273,4938876496,0,0.0
synthetic_high,305,6,2.1667,1.3333,5,0,0,0,0,
synthetic_high,1000,6,0.0,0.0,4,0,10990528,18562485306,0,0.0
synthetic_high,1001,6,1.3333,1.0,5,0,10774978,18259290990,0,0.0
synthetic_high,1002,6,2.5,1.1667,5,0,10864554,18411362340,0,0.0
synthetic_high,1003,6,2.8333,1.8333,6,2,10810415,18292672990,5189579900,28.369719
synthetic_high,1004,6,3.1667,2.0,6,2,10962824,18526417840,6169602790,33.30165
synthetic_high,1005,6,2.8333,2.3333,6,2,0,0,0,
