catalogId|class|level|candidate|name|branchKey|action|flow|impactStyle|path|growthBand|tierVariant|primaryResolverKey|choreographyKey|identitySchema|identityId|grammarId|growthStage|hitBand|perceptualSignature|roleGrammar|element|hitWeights|hitTimings|presentationHitTimings|presentationGroups|primaryAsset|primaryAssets|secondaryAsset|impactAssets|debrisAssets|residualAsset|finisherRingAsset|finisherEchoAsset|legacyRecipe|normalRoleCount|normalPeakConcurrent|minimumPeakConcurrent|reducedMaxConcurrent
warrior_t11_c02|WARRIOR|55|1|파성 철퇴|AUTHORED_CLASS:WARRIOR:CONVERGE|DESCEND|TOP_TO_BOTTOM|FRACTURE|CONVERGE|2|2|warrior:c2:b3|warrior:c2:b3|2|v2:4e6cfa34d29ec6d5|G09_DESCEND_TOP_TO_BOTTOM|MID|SINGLE|G09_DESCEND_TOP_TO_BOTTOM:MID:SINGLE~ANTICIPATION:1:6:-5:1:-2:35:33:2:1:1~PRIMARY:0:1:-2:1:-2:34:33:1:-1:1~CONTACT:2:4:-2:0:0:33:35:0:1:1~DEBRIS:1:0:0:1:-2:35:32:-1:1:1~RESIDUAL:2:7:6:-1:-1:32:33:0:-1:1~FINISHER_RING:0:3:3:1:0:35:34:0:-1:1~FINISHER_ECHO:1:0:4:0:-2:33:32:2:1:1~WARRIOR_ACCENT:0:1:-4:1:-1:34:33:0:-1:1|ANTICIPATION,1,6,-34,0.92,0.028,-0.033,1.05,0.97499996,9.0,1.0,0.96000004,,1,0,LEADING_EDGE;PRIMARY,0,1,-14,1.0,0.018,-0.033,1.025,0.97499996,6.0,-1.0,1.0,,1,2,TARGET;CONTACT,2,4,-13,0.96000004,-0.0045599993,0.0016799998,0.97499996,1.05,-1.9200001,1.0,0.96000004,,1,4,TARGET;DEBRIS,1,0,4,1.08,0.02656,-0.03768,1.05,0.95,-4.08,1.0,0.92,,1,5,TRAILING_EDGE;RESIDUAL,2,7,36,1.04,-0.01344,-0.01968,0.95,1.0,-1.0799999,-1.0,1.04,,1,1,GROUND;FINISHER_RING,0,3,22,0.96000004,0.02544,-0.00732,1.05,1.025,1.0799999,-1.0,0.96000004,,1,6,ORBIT;FINISHER_ECHO,1,0,26,0.92,0.0054400004,-0.034319997,1.0,0.95,10.08,1.0,0.96000004,,1,7,ORBIT;WARRIOR_ACCENT,0,1,-26,0.92,0.01656,-0.02868,1.025,0.97499996,-1.0799999,-1.0,0.96000004,,1,3,TARGET|EARTH|100|420|420|420:0:100|2131034563|2131034563,2131034563|2131034562|2131034552,2131034552,2131034552|2131034553,2131034553,2131034553|2131034554||||5|4|4|1
warrior_t12_c04|WARRIOR|60|3|산맥 붕괴타|AUTHORED_CLASS:WARRIOR:CROSS|COLLAPSE|OUTSIDE_IN|RING|CROSS|2|3|warrior:c4:b3|warrior:c4:b3|2|v2:d2bae6ec7d617663|G06_COLLAPSE_OUTSIDE_IN|MID|SINGLE|G06_COLLAPSE_OUTSIDE_IN:MID:SINGLE~ANTICIPATION:0:2:-3:-1:-1:32:33:4:1:1~PRIMARY:2:2:-6:0:-1:33:33:3:1:1~CONTACT:1:2:4:1:-1:34:33:2:1:1~DEBRIS:0:3:5:0:0:33:34:4:-1:1~RESIDUAL:1:5:2:-1:-2:32:32:3:-1:1~FINISHER_RING:1:6:1:0:-1:33:33:3:1:1~FINISHER_ECHO:1:5:8:1:-2:34:32:4:-1:1~WARRIOR_ACCENT:0:6:-2:0:-1:33:33:0:1:1|ANTICIPATION,0,2,-18,1.04,-0.02,-0.02,0.95,1.0,20.0,1.0,1.04,,1,0,LEADING_EDGE;PRIMARY,2,2,-36,1.0,-0.01,-0.02,0.97499996,1.0,17.0,1.0,1.04,,1,2,TARGET;CONTACT,1,2,27,0.96000004,0.01,-0.0136,1.025,1.0,9.52,1.0,0.96000004,,1,4,TARGET;DEBRIS,0,3,30,0.96000004,-0.01,-0.0074000005,0.97499996,1.025,20.48,-1.0,0.96000004,,1,5,TRAILING_EDGE;RESIDUAL,1,5,14,0.96000004,-0.02,-0.0344,0.95,0.95,17.48,-1.0,1.0,,1,1,GROUND;FINISHER_RING,1,6,9,1.04,-0.01,-0.022599999,0.97499996,0.97499996,12.52,1.0,1.04,,1,6,ORBIT;FINISHER_ECHO,1,5,53,0.96000004,0.01,-0.0316,1.025,0.95,18.52,-1.0,1.0,,1,7,ORBIT;WARRIOR_ACCENT,0,6,-12,0.96000004,0.0,-0.0254,1.0,0.97499996,2.4799995,1.0,0.96000004,,1,3,TARGET|EARTH|100|420|420|420:0:100|2131034561|2131034561,2131034561|2131034559|2131034550,2131034550,2131034550|2131034551,2131034551,2131034551|2131034324||||5|4|4|1
warrior_t13_c03|WARRIOR|65|2|철혈 관통|AUTHORED_CLASS:WARRIOR:CROSS|CHARGE|LEFT_TO_RIGHT|POINT|CROSS|3|0|warrior:c3:b4|warrior:c3:b4|2|v2:d8a5f4d441e620f9|G05_CHARGE_LEFT_TO_RIGHT|MID|SINGLE|G05_CHARGE_LEFT_TO_RIGHT:MID:SINGLE~ANTICIPATION:0:0:-4:-2:0:32:32:-2:1:1~PRIMARY:0:7:-1:0:0:35:33:1:-1:1~CONTACT:1:5:0:-1:-1:33:32:0:-1:1~DEBRIS:2:6:-2:-2:0:33:33:2:1:1~RESIDUAL:2:6:1:-2:0:32:33:-2:1:1~FINISHER_RING:1:4:4:0:1:34:35:0:1:1~FINISHER_ECHO:2:1:5:0:0:35:33:0:-1:1~WARRIOR_ACCENT:2:3:-1:0:1:35:34:1:-1:1|ANTICIPATION,0,0,-28,0.92,-0.046,-0.009999999,0.95,0.95,-8.0,1.0,0.92,,1,0,LEADING_EDGE;PRIMARY,0,7,-10,1.08,-0.006000001,0.008,1.05,1.0,4.0,-1.0,0.92,,1,2,TARGET;CONTACT,1,5,0,0.96000004,-0.01768,-0.012559999,1.0,0.95,-2.32,-1.0,0.96000004,,1,4,TARGET;DEBRIS,2,6,-14,1.0,-0.03132,-0.0024399995,0.97499996,0.97499996,9.82,1.0,1.04,,1,5,TRAILING_EDGE;RESIDUAL,2,6,7,0.92,-0.04132,-0.0024399995,0.95,0.97499996,-8.18,1.0,0.92,,1,1,GROUND;FINISHER_RING,1,4,24,1.0,-0.0076800007,0.02344,1.025,1.05,0.68,1.0,1.0,,1,6,ORBIT;FINISHER_ECHO,2,1,32,0.96000004,0.002319999,-0.0035599992,1.05,0.97499996,-2.32,-1.0,1.0,,1,7,ORBIT;WARRIOR_ACCENT,2,3,-10,1.04,-0.0013200007,0.015559999,1.05,1.025,3.82,-1.0,1.04,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034560|2131034560,2131034560|2131034555|2131034556,2131034556,2131034556|2131034557,2131034557,2131034557|2131034558||||5|4|4|1
warrior_t14_c03|WARRIOR|70|2|군단 대돌파|AUTHORED_CLASS:WARRIOR:CONVERGE|CHARGE|LEFT_TO_RIGHT|POINT|CONVERGE|3|1|warrior:c3:b4|warrior:c3:b4|2|v2:7c76891a48a6818d|G05_CHARGE_LEFT_TO_RIGHT|MID|SINGLE|G05_CHARGE_LEFT_TO_RIGHT:MID:SINGLE~ANTICIPATION:0:1:-2:0:0:35:33:-2:-1:1~PRIMARY:1:4:0:0:1:35:35:-2:1:1~CONTACT:0:2:-1:0:0:34:33:0:1:1~DEBRIS:2:6:4:0:0:35:33:0:1:1~RESIDUAL:0:0:0:0:-1:35:32:1:1:1~FINISHER_RING:2:0:5:0:-1:35:32:0:1:1~FINISHER_ECHO:1:5:6:0:-1:35:32:1:-1:1~WARRIOR_ACCENT:0:5:-2:-2:-1:32:32:-1:-1:1|ANTICIPATION,0,1,-16,0.96000004,-0.006000001,-9.999992E-4,1.05,0.97499996,-8.0,-1.0,0.96000004,,1,0,LEADING_EDGE;PRIMARY,1,4,2,1.08,-0.006000001,0.026,1.05,1.05,-8.0,1.0,0.92,,1,2,TARGET;CONTACT,0,2,-8,0.92,-0.0076800007,0.0054400004,1.025,1.0,0.68,1.0,0.92,,1,4,TARGET;DEBRIS,2,6,26,0.96000004,-0.0013200007,-0.0024399995,1.05,0.97499996,-2.18,1.0,1.0,,1,5,TRAILING_EDGE;RESIDUAL,0,0,3,1.0,-0.0013200007,-0.01144,1.05,0.95,3.82,1.0,1.0,,1,1,GROUND;FINISHER_RING,2,0,32,1.08,0.002319999,-0.012559999,1.05,0.95,-2.32,1.0,0.92,,1,6,ORBIT;FINISHER_ECHO,1,5,40,1.0,0.002319999,-0.012559999,1.05,0.95,3.68,-1.0,1.04,,1,7,ORBIT;WARRIOR_ACCENT,0,5,-14,1.08,-0.04132,-0.01144,0.95,0.95,-5.18,-1.0,0.92,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034560|2131034560,2131034560|2131034555|2131034556,2131034556,2131034556|2131034557,2131034557,2131034557|2131034558||||5|4|4|1
warrior_t15_c01|WARRIOR|75|0|군왕의 일도|SINGLE_SLASH:warrior_t15_c01|CUT|LEFT_TO_RIGHT|EDGE|CROSS|3|2|warrior:c1:b4|warrior:c1:b4|2|v2:74a3c212f17586b7|G08_CUT_LEFT_TO_RIGHT|MID|SINGLE|G08_CUT_LEFT_TO_RIGHT:MID:SINGLE~ANTICIPATION:0:1:-1:-1:0:33:33:0:-1:1~PRIMARY:1:1:-1:0:0:34:33:1:-1:1~CONTACT:0:7:3:-1:0:32:33:-2:-1:1~DEBRIS:1:7:-1:0:0:35:33:0:-1:1~RESIDUAL:0:0:0:0:-1:35:32:-1:1:1~FINISHER_RING:2:2:2:0:0:33:33:1:1:1~FINISHER_ECHO:1:0:7:1:-1:35:32:-2:1:1~WARRIOR_ACCENT:2:1:1:0:0:34:33:1:-1:1|ANTICIPATION,0,1,-6,1.0,-0.024,-0.0029999996,0.97499996,0.97499996,-2.0,-1.0,1.04,,1,0,LEADING_EDGE;PRIMARY,1,1,-6,0.96000004,-0.0040000007,-0.0029999996,1.025,0.97499996,4.0,-1.0,0.96000004,,1,2,TARGET;CONTACT,0,7,20,0.96000004,-0.029520001,0.00408,0.95,1.0,-12.4,-1.0,1.0,,1,4,TARGET;DEBRIS,1,7,-9,0.96000004,0.00852,0.00492,1.05,1.0,-1.0999999,-1.0,0.96000004,,1,5,TRAILING_EDGE;RESIDUAL,0,0,4,0.92,0.00852,-0.013079999,1.05,0.95,-7.1,1.0,0.92,,1,1,GROUND;FINISHER_RING,2,2,12,1.04,-0.009520001,0.00408,1.0,1.0,2.6,1.0,1.04,,1,6,ORBIT;FINISHER_ECHO,1,0,44,1.04,0.010479999,-0.01392,1.05,0.95,-12.4,1.0,1.04,,1,7,ORBIT;WARRIOR_ACCENT,2,1,6,1.0,-0.0014800001,-0.0040799994,1.025,0.97499996,4.9,-1.0,1.04,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034566|2131034566|||||||h0=WARRIOR:3@r0.0@m1.0@s1.0|3|3|1|2
warrior_t16_c05|WARRIOR|80|4|용살 연속참|COMBO_SLASH:warrior_t16_c05|FLURRY|LEFT_TO_RIGHT|EDGE|CONVERGE|3|3|warrior:c5:b4|warrior:c5:b4|2|v2:f7985af3cb3ed7f8|G12_FLURRY_LEFT_TO_RIGHT|MID|BARRAGE|G12_FLURRY_LEFT_TO_RIGHT:MID:BARRAGE~ANTICIPATION:0:2:0:1:1:34:33:1:1:3~PRIMARY:1:0:1:1:0:34:32:4:1:3~CONTACT:2:7:3:1:0:34:33:2:-1:4~DEBRIS:0:1:-2:0:0:32:33:3:-1:4~RESIDUAL:1:4:3:2:1:35:35:3:1:3~FINISHER_RING:2:6:4:0:0:33:33:2:1:3~FINISHER_ECHO:1:5:0:0:-1:32:32:0:-1:4~WARRIOR_ACCENT:0:7:1:1:0:33:33:1:-1:4|ANTICIPATION,0,2,4,0.92,0.027999999,0.01,1.025,1.0,6.0,1.0,0.96000004,,3,0,LEADING_EDGE;PRIMARY,1,0,8,1.08,0.027999999,-0.007999999,1.025,0.95,21.0,1.0,0.92,,3,2,TARGET;CONTACT,2,7,20,0.96000004,0.022239998,0.0068,1.025,1.0,8.16,-1.0,1.0,,4,4,TARGET;DEBRIS,0,1,-16,0.92,-0.00524,-7.999996E-4,0.95,0.97499996,15.84,-1.0,0.96000004,,4,5,TRAILING_EDGE;RESIDUAL,1,4,18,0.96000004,0.03476,0.0262,1.05,1.05,12.84,1.0,1.0,,3,1,GROUND;FINISHER_RING,2,6,28,0.96000004,0.0022399994,-0.0021999995,0.97499996,0.97499996,11.16,1.0,0.96000004,,3,6,ORBIT;FINISHER_ECHO,1,5,4,1.0,-0.0077600004,-0.0112,0.95,0.95,-0.84000015,-1.0,1.0,,4,7,ORBIT;WARRIOR_ACCENT,0,7,8,1.0,0.01476,0.0082,1.0,1.0,6.84,-1.0,1.0,,4,3,TARGET|PHYSICAL|6,7,7,7,7,7,7,7,8,8,8,21|113,147,194,251,309,366,423,480,538,595,652,710|147,251,366,480,595,710|147:0,1:13;251:2,3:14;366:4,5:14;480:6,7:14;595:8,9:16;710:10,11:29|2131034579|2131034579|||||||h0=WARRIOR:0@r-28.0@m1.0@s0.82,h1=WARRIOR:3@r-24.0@m-1.0@s0.86,h2=WARRIOR:2@r-12.0@m1.0@s0.88,h3=WARRIOR:4@r-34.0@m-1.0@s0.91,h4=WARRIOR:5@r-38.0@m1.0@s0.93,h5=WARRIOR:3@r-15.0@m-1.0@s0.95,h6=WARRIOR:7@r-21.0@m1.0@s0.92,h7=WARRIOR:6@r-42.0@m-1.0@s0.96,h8=WARRIOR:8@r-7.0@m1.0@s0.98,h9=WARRIOR:0@r-29.0@m-1.0@s1.0,h10=WARRIOR:3@r-33.0@m1.0@s1.02,h11=WARRIOR:3@r-0.0@m-1.0@s1.08|1|3|1|1
warrior_t17_c01|WARRIOR|85|0|용살 대참|SINGLE_SLASH:warrior_t17_c01|CUT|LEFT_TO_RIGHT|EDGE|RUPTURE|4|0|warrior:c1:b5|warrior:c1:b5|2|v2:ed5266aa0e532ae2|G08_CUT_LEFT_TO_RIGHT|HIGH|SINGLE|G08_CUT_LEFT_TO_RIGHT:HIGH:SINGLE~ANTICIPATION:2:4:-2:0:1:36:37:-2:1:1~PRIMARY:2:3:-4:-1:1:34:36:-2:-1:1~CONTACT:1:2:2:0:0:36:35:1:1:1~DEBRIS:1:3:1:0:1:36:36:-2:-1:1~RESIDUAL:0:7:0:-1:0:34:35:1:-1:1~FINISHER_RING:2:6:0:1:0:37:34:0:1:1~FINISHER_ECHO:0:7:2:0:0:35:35:1:-1:1~WARRIOR_ACCENT:2:7:-3:-1:0:35:35:0:-1:1|ANTICIPATION,2,4,-14,0.92,-0.0040000007,0.024,1.0864999,1.1129999,-11.0,1.0,0.92,,1,0,LEADING_EDGE;PRIMARY,2,3,-26,0.96000004,-0.024,0.015,1.0335,1.0864999,-11.0,-1.0,0.96000004,,1,2,TARGET;CONTACT,1,2,12,1.08,4.79999E-4,0.00408,1.0864999,1.06,5.6,1.0,0.92,,1,4,TARGET;DEBRIS,1,3,7,1.04,-0.0014800001,0.01392,1.0864999,1.0864999,-10.1,-1.0,1.04,,1,5,TRAILING_EDGE;RESIDUAL,0,7,4,0.96000004,-0.02148,0.00492,1.0335,1.06,4.9,-1.0,1.0,,1,1,GROUND;FINISHER_RING,2,6,-4,1.08,0.010479999,-0.0049199997,1.1129999,1.0335,-0.4000001,1.0,0.92,,1,6,ORBIT;FINISHER_ECHO,0,7,16,1.0,-0.009520001,0.00408,1.06,1.06,2.6,-1.0,1.0,,1,7,ORBIT;WARRIOR_ACCENT,2,7,-22,1.0,-0.01148,0.00492,1.06,1.06,1.9000001,-1.0,1.0,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034566|2131034566|||||||h0=WARRIOR:10@r0.0@m1.0@s1.0|3|3|1|2
warrior_t18_c02|WARRIOR|90|1|전쟁왕 대철퇴|AUTHORED_CLASS:WARRIOR:CROSS|DESCEND|TOP_TO_BOTTOM|FRACTURE|CROSS|4|1|warrior:c2:b5|warrior:c2:b5|2|v2:f76d7aa93fa69612|G09_DESCEND_TOP_TO_BOTTOM|HIGH|SINGLE|G09_DESCEND_TOP_TO_BOTTOM:HIGH:SINGLE~ANTICIPATION:1:1:-5:-1:-2:34:34:-1:-1:1~PRIMARY:1:2:-4:0:-1:35:35:-1:1:1~CONTACT:0:1:2:1:-1:36:34:3:-1:1~DEBRIS:0:1:4:-1:-1:34:34:2:-1:1~RESIDUAL:2:1:6:0:-1:35:34:-1:-1:1~FINISHER_RING:1:5:4:1:-2:36:34:3:-1:1~FINISHER_ECHO:2:3:3:1:0:37:36:-1:-1:1~WARRIOR_ACCENT:2:7:-5:-1:-1:34:35:0:-1:1|ANTICIPATION,1,1,-34,1.0,-0.011999999,-0.033,1.007,1.0335,-3.0,-1.0,1.0,,1,0,LEADING_EDGE;PRIMARY,1,2,-26,1.0,0.008,-0.024,1.06,1.06,-3.0,1.0,1.0,,1,2,TARGET;CONTACT,0,1,15,0.96000004,0.01544,-0.02532,1.0864999,1.0335,13.08,-1.0,0.96000004,,1,4,TARGET;DEBRIS,0,1,28,0.96000004,-0.01344,-0.02868,1.007,1.0335,10.92,-1.0,1.0,,1,5,TRAILING_EDGE;RESIDUAL,2,1,36,0.92,0.00656,-0.02868,1.06,1.0335,-4.08,-1.0,0.92,,1,1,GROUND;FINISHER_RING,1,5,26,1.0,0.01544,-0.034319997,1.0864999,1.007,13.08,-1.0,1.04,,1,6,ORBIT;FINISHER_ECHO,2,3,18,1.0,0.02544,-0.00732,1.1129999,1.0864999,-4.92,-1.0,1.04,,1,7,ORBIT;WARRIOR_ACCENT,2,7,-30,1.0,-0.01344,-0.01968,1.007,1.06,-1.0799999,-1.0,1.04,,1,3,TARGET|EARTH|100|420|420|420:0:100|2131034563|2131034563,2131034563|2131034562|2131034552,2131034552,2131034552|2131034553,2131034553,2131034553|2131034554||||5|5|4|1
warrior_t19_c02|WARRIOR|95|1|대륙 파쇄타|AUTHORED_CLASS:WARRIOR:CONVERGE|DESCEND|TOP_TO_BOTTOM|FRACTURE|CONVERGE|4|2|warrior:c2:b5|warrior:c2:b5|2|v2:f5fce4cfde161a46|G09_DESCEND_TOP_TO_BOTTOM|HIGH|SINGLE|G09_DESCEND_TOP_TO_BOTTOM:HIGH:SINGLE~ANTICIPATION:0:3:-5:0:-1:34:36:3:-1:1~PRIMARY:0:0:0:1:-2:36:34:1:1:1~CONTACT:0:3:0:-1:0:34:36:0:-1:1~DEBRIS:2:4:0:-1:0:34:37:-1:1:1~RESIDUAL:0:2:5:0:-1:34:35:2:1:1~FINISHER_RING:0:7:4:-1:-1:34:35:-1:-1:1~FINISHER_ECHO:2:4:5:1:0:37:37:-1:1:1~WARRIOR_ACCENT:1:7:-7:0:-1:35:35:0:-1:1|ANTICIPATION,0,3,-30,1.08,-0.0019999994,-0.015000001,1.0335,1.0864999,15.0,-1.0,0.92,,1,0,LEADING_EDGE;PRIMARY,0,0,2,0.96000004,0.018,-0.042,1.0864999,1.007,6.0,1.0,0.96000004,,1,2,TARGET;CONTACT,0,3,-5,0.96000004,-0.014559999,-0.00732,1.007,1.0864999,-1.9200001,-1.0,0.96000004,,1,4,TARGET;DEBRIS,2,4,0,0.96000004,-0.01344,-0.0016800016,1.007,1.1129999,-4.08,1.0,0.96000004,,1,5,TRAILING_EDGE;RESIDUAL,0,2,32,0.92,-0.0034399997,-0.01968,1.0335,1.06,7.92,1.0,0.96000004,,1,1,GROUND;FINISHER_RING,0,7,26,1.0,-0.014559999,-0.01632,1.007,1.06,-4.92,-1.0,1.0,,1,6,ORBIT;FINISHER_ECHO,2,4,34,0.92,0.02544,0.0016799998,1.1129999,1.1129999,-4.92,1.0,0.92,,1,7,ORBIT;WARRIOR_ACCENT,1,7,-42,1.08,0.00656,-0.01968,1.06,1.06,1.9200001,-1.0,0.92,,1,3,TARGET|EARTH|100|420|420|420:0:100|2131034563|2131034563,2131034563|2131034562|2131034552,2131034552,2131034552|2131034553,2131034553,2131034553|2131034554||||5|5|4|1
warrior_t20_c01|WARRIOR|100|0|천하대양단|SINGLE_SLASH:warrior_t20_c01|CUT|LEFT_TO_RIGHT|EDGE|CONVERGE|4|3|warrior:c1:b5|warrior:c1:b5|2|v2:51be2964f65bf559|G08_CUT_LEFT_TO_RIGHT|HIGH|SINGLE|G08_CUT_LEFT_TO_RIGHT:HIGH:SINGLE~ANTICIPATION:2:2:1:0:0:36:35:-1:1:1~PRIMARY:0:4:1:-2:1:34:37:-3:1:1~CONTACT:1:4:2:0:1:35:37:-1:1:1~DEBRIS:0:2:0:-2:0:34:35:-2:1:1~RESIDUAL:0:6:0:0:0:36:34:-1:1:1~FINISHER_RING:1:0:0:0:-1:36:34:-2:1:1~FINISHER_ECHO:0:4:6:-1:1:34:37:0:1:1~WARRIOR_ACCENT:1:5:-3:-1:-1:35:34:0:-1:1|ANTICIPATION,2,2,6,1.08,-0.0040000007,0.006,1.0864999,1.06,-5.0,1.0,0.92,,1,0,LEADING_EDGE;PRIMARY,0,4,6,1.08,-0.034,0.024,1.007,1.1129999,-14.0,1.0,0.92,,1,2,TARGET;CONTACT,1,4,16,1.0,-0.009520001,0.022079999,1.06,1.1129999,-6.4,1.0,1.04,,1,4,TARGET;DEBRIS,0,2,3,1.0,-0.03148,0.00492,1.007,1.06,-10.1,1.0,1.0,,1,5,TRAILING_EDGE;RESIDUAL,0,6,-4,1.0,-0.0014800001,-0.0040799994,1.0864999,1.0335,-4.1,1.0,1.04,,1,1,GROUND;FINISHER_RING,1,0,4,0.96000004,4.79999E-4,-0.01392,1.0864999,1.007,-9.4,1.0,1.0,,1,6,ORBIT;FINISHER_ECHO,0,4,36,1.08,-0.01952,0.022079999,1.0335,1.1129999,-0.4000001,1.0,0.92,,1,7,ORBIT;WARRIOR_ACCENT,1,5,-22,1.0,-0.01148,-0.013079999,1.06,1.007,1.9000001,-1.0,1.04,,1,3,TARGET|PHYSICAL|100|420|420|420:0:100|2131034566|2131034566|||||||h0=WARRIOR:10@r0.0@m1.0@s1.0|3|3|1|2
rogue_t01_c01|ROGUE|5|0|빠른 찌르기|AUTHORED_CLASS:ROGUE:RUPTURE|PIERCE|OUTSIDE_IN|POINT|RUPTURE|0|0|rogue:c1:b1|rogue:c1:b1|2|v2:4e17e575b507c15e|G13_PIERCE_OUTSIDE_IN|LOW|COMBO|G13_PIERCE_OUTSIDE_IN:LOW:COMBO~ANTICIPATION:1:7:-4:-1:0:31:31:-2:-1:3~PRIMARY:2:1:-3:-1:-1:32:31:1:-1:3~CONTACT:2:3:-1:-2:0:30:32:-2:-1:3~DEBRIS:2:2:-2:-2:0:30:31:-2:1:2~RESIDUAL:2:3:2:-2:0:30:32:-2:-1:3~FINISHER_RING:1:7:5:-1:0:31:31:0:-1:3~FINISHER_ECHO:2:4:3:-1:1:31:33:-2:1:2~WARRIOR_ACCENT:2:2:0:-1:0:31:31:1:1:2|ANTICIPATION,1,7,-29,0.92,-0.022,-0.008,0.94,0.94,-12.0,-1.0,0.92,,3,0,LEADING_EDGE;PRIMARY,2,1,-18,0.96000004,-0.012,-0.017,0.96349996,0.9165,6.0,-1.0,0.96000004,,3,2,TARGET;CONTACT,2,3,-7,0.96000004,-0.03496,0.0035599992,0.893,0.96349996,-11.04,-1.0,0.96000004,,3,4,TARGET;DEBRIS,2,2,-13,0.96000004,-0.038039997,-0.00656,0.893,0.94,-8.46,1.0,0.96000004,,2,5,TRAILING_EDGE;RESIDUAL,2,3,12,0.92,-0.038039997,0.0024399995,0.893,0.96349996,-8.46,-1.0,0.96000004,,3,1,GROUND;FINISHER_RING,1,7,30,0.92,-0.02496,-0.0054400004,0.9165,0.94,0.96000004,-1.0,0.96000004,,3,6,ORBIT;FINISHER_ECHO,2,4,18,0.92,-0.02496,0.012559999,0.9165,0.9869999,-8.04,1.0,0.96000004,,2,7,ORBIT;WARRIOR_ACCENT,2,2,-2,0.96000004,-0.01804,-0.00656,0.94,0.94,3.54,1.0,0.96000004,,2,3,TARGET|PHYSICAL|28,32,40|180,430,720|180,430,720|180:0:28;430:1:32;720:2:40|2131034574|2131034573,2131034574|2131034337|2131034572,2131034572,2131034572|2131034537,2131034537,2131034537|||||4|3|3|1
rogue_t02_c02|ROGUE|10|1|암습|AUTHORED_CLASS:ROGUE:CROSS|CHARGE|LEFT_TO_RIGHT|POINT|CROSS|0|1|rogue:c2:b1|rogue:c2:b1|2|v2:39e1451c23803b24|G05_CHARGE_LEFT_TO_RIGHT|LOW|SINGLE|G05_CHARGE_LEFT_TO_RIGHT:LOW:SINGLE~ANTICIPATION:0:7:-6:-1:0:31:31:-2:-1:1~PRIMARY:2:5:-6:-2:0:30:30:-1:-1:1~CONTACT:1:7:0:-2:0:30:31:1:-1:1~DEBRIS:0:0:-2:-1:-1:32:30:-1:1:1~RESIDUAL:1:5:3:-1:-1:31:30:0:-1:1~FINISHER_RING:1:5:5:-2:-1:30:30:1:-1:1~FINISHER_ECHO:0:0:7:-1:-1:31:30:-1:1:1~WARRIOR_ACCENT:2:0:-3:-1:-1:32:30:0:1:1|ANTICIPATION,0,7,-40,1.0,-0.026,0.008,0.94,0.94,-8.0,-1.0,1.0,,1,0,LEADING_EDGE;PRIMARY,2,5,-38,0.96000004,-0.046,-0.009999999,0.893,0.893,-5.0,-1.0,0.96000004,,1,2,TARGET;CONTACT,1,7,4,1.0,-0.03768,0.0054400004,0.893,0.94,6.68,-1.0,1.04,,1,4,TARGET;DEBRIS,0,0,-14,1.08,-0.0113200005,-0.01144,0.96349996,0.893,-5.18,1.0,0.92,,1,5,TRAILING_EDGE;RESIDUAL,1,5,23,0.92,-0.02132,-0.01144,0.94,0.893,-2.18,-1.0,0.96000004,,1,1,GROUND;FINISHER_RING,1,5,32,0.96000004,-0.03768,-0.012559999,0.893,0.893,6.68,-1.0,1.0,,1,6,ORBIT;FINISHER_ECHO,0,0,44,1.0,-0.02768,-0.012559999,0.9165,0.893,-5.32,1.0,1.04,,1,7,ORBIT;WARRIOR_ACCENT,2,0,-18,0.96000004,-0.0113200005,-0.01144,0.96349996,0.893,0.82,1.0,1.0,,1,3,TARGET|DARK|100|500|500|500:0:100|2131034476|2131034475,2131034476|2131034339|2131034545,2131034545,2131034545|2131034546,2131034546,2131034546|||||4|3|3|1
