class,seed_index,hp,mp,str,con,dex,int,wis,cha
WARRIOR,55,12010,3119,11,301,10,102,13,86
WARRIOR,56,13141,2324,11,321,10,79,5,95
WARRIOR,57,1607,3175,307,13,83,14,91,9
WARRIOR,58,13534,2549,11,329,8,84,11,78
WARRIOR,59,12738,2917,11,323,12,88,13,82
WARRIOR,60,12844,2515,11,311,10,89,7,89
WARRIOR,61,12152,3061,17,302,10,100,13,89
WARRIOR,62,9929,3361,76,240,92,17,95,6
WARRIOR,63,9776,3240,88,238,75,17,94,4
WARRIOR,64,11856,2586,7,297,12,84,11,106
WARRIOR,65,12656,2598,11,314,14,93,9,70
WARRIOR,66,1607,2547,311,13,93,6,81,9
WARRIOR,67,1607,2696,321,13,87,8,83,9
WARRIOR,68,12151,2857,13,306,10,89,17,92
WARRIOR,69,4490,2480,237,88,6,83,13,85
WARRIOR,70,9929,2988,69,240,88,7,104,10
WARRIOR,71,5135,2731,239,102,10,86,15,78
WARRIOR,72,9623,2880,92,236,80,13,89,12
WARRIOR,73,1378,2533,313,11,89,10,85,13
WARRIOR,74,4460,2782,239,90,8,90,15,80
WARRIOR,75,4494,2505,241,86,6,86,9,94
WARRIOR,76,4745,2519,241,91,12,89,11,78
WARRIOR,77,3924,2726,237,82,10,93,11,83
WARRIOR,78,13047,2533,13,320,12,88,9,79
WARRIOR,79,13012,2332,15,325,10,71,13,89
WARRIOR,80,10082,3009,84,242,82,5,97,8
WARRIOR,81,4270,2672,233,84,4,97,7,93
WARRIOR,82,1607,2889,311,13,83,10,93,11
WARRIOR,83,3801,2636,237,79,16,91,11,82
WARRIOR,84,12839,2430,11,314,12,75,15,96
WARRIOR,85,9776,2991,77,238,95,11,93,8
WARRIOR,86,12924,2524,7,310,14,92,9,85
WARRIOR,87,1148,2978,310,7,80,14,91,11
WARRIOR,88,9623,2541,90,236,93,7,78,12
WARRIOR,89,1148,2165,320,7,90,6,71,17
WARRIOR,90,4262,2771,241,89,14,83,15,86
WARRIOR,91,9470,2849,68,234,93,5,98,10
WARRIOR,92,9776,3059,94,238,84,13,87,8
WARRIOR,93,4207,2763,239,88,6,91,11,73
WARRIOR,94,1607,2575,312,13,88,8,83,13
WARRIOR,95,4115,2572,239,86,12,86,13,78
WARRIOR,96,9623,2726,83,236,93,9,89,10
WARRIOR,97,9623,3272,85,236,82,15,90,12
WARRIOR,98,4706,2858,239,95,12,94,13,81
WARRIOR,99,4638,2821,241,95,10,93,13,70
WARRIOR,100,4657,2569,237,91,12,82,13,93
WARRIOR,101,9929,3164,73,240,89,13,97,8
WARRIOR,102,1607,2372,322,13,93,10,68,15
WARRIOR,103,1378,2653,316,11,84,10,81,13
WARRIOR,104,1377,3080,318,9,74,12,93,11
WARRIOR,105,1148,2858,334,7,83,14,74,17
WARRIOR,106,12538,2670,15,310,12,87,11,88
WARRIOR,107,9776,2723,76,238,89,9,86,10
WARRIOR,108,9776,2925,82,238,90,15,87,16
WARRIOR,109,13530,2591,9,328,10,88,13,75
WARRIOR,110,9470,2632,89,234,85,5,85,10
WARRIOR,111,9776,3409,85,238,86,15,102,8
WARRIOR,112,1377,2539,324,9,80,4,89,13
WARRIOR,113,12729,2148,11,311,10,74,7,104
WARRIOR,114,9623,2763,100,236,88,9,75,12
WARRIOR,115,1148,3062,320,7,82,8,95,11
WARRIOR,116,9317,2506,84,232,107,13,72,14
WARRIOR,117,4132,2476,235,79,6,91,7,88
WARRIOR,118,4463,2493,235,88,14,81,13,91
WARRIOR,119,9470,2619,80,234,93,7,82,10
WARRIOR,120,12407,2794,11,306,12,99,5,80
WARRIOR,121,9929,2617,96,240,85,11,78,6
WARRIOR,122,1607,2650,301,13,97,6,83,11
WARRIOR,123,12168,2845,7,300,14,100,9,93
WARRIOR,124,1607,2719,320,13,86,12,81,9
WARRIOR,125,12577,2387,13,316,12,85,7,84
WARRIOR,126,9623,2981,77,236,96,13,90,12
WARRIOR,127,1378,2967,312,11,74,10,95,11
WARRIOR,128,12404,2415,15,309,6,90,7,76
WARRIOR,129,12442,2847,11,303,16,93,15,85
WARRIOR,130,1377,2942,318,9,89,10,94,17
WARRIOR,131,1836,2792,319,15,76,8,90,11
WARRIOR,132,1607,3123,300,13,93,10,96,13
WARRIOR,133,4758,2610,239,94,12,83,13,91
WARRIOR,134,4266,2691,239,94,8,85,13,83
WARRIOR,135,9623,2647,96,236,80,9,87,10
WARRIOR,136,9929,2725,94,240,81,7,88,10
WARRIOR,137,9776,2464,84,238,94,9,77,14
WARRIOR,138,4864,2533,239,98,10,76,13,88
WARRIOR,139,12751,2315,13,314,10,79,11,86
WARRIOR,140,12328,2701,15,308,10,86,11,91
WARRIOR,141,12710,2637,13,315,12,94,9,74
WARRIOR,142,13040,2622,9,320,14,89,9,80
WARRIOR,143,12878,2326,11,318,6,75,9,98
WARRIOR,144,4403,2447,239,88,16,81,13,89
WARRIOR,145,4721,2452,245,92,6,81,9,89
WARRIOR,146,4699,2474,237,97,10,88,5,75
WARRIOR,147,3865,2982,237,75,10,113,7,76
WARRIOR,148,12224,2577,15,313,10,84,9,80
WARRIOR,149,12628,2268,13,313,12,76,11,90
WARRIOR,150,12643,2368,9,317,10,79,11,89
WARRIOR,151,13493,2502,7,329,8,80,11,86
WARRIOR,152,1836,2823,312,15,87,10,92,15
WARRIOR,153,1377,2578,321,9,84,10,84,11
WARRIOR,154,4332,2855,235,93,8,84,15,89
WARRIOR,155,9623,2960,84,236,81,11,94,8
WARRIOR,156,10082,2976,92,242,90,7,93,4
WARRIOR,157,9776,3178,81,238,88,15,96,16
WARRIOR,158,1378,2454,324,11,92,12,67,15
WARRIOR,159,1607,2362,321,13,90,8,72,13
WARRIOR,160,9623,2968,83,236,89,17,83,12
WARRIOR,161,9776,3038,77,238,91,13,95,14
WARRIOR,162,3901,2815,243,85,12,89,13,82
WARRIOR,163,4727,2488,237,95,12,81,7,90
WARRIOR,164,9776,2840,80,238,84,11,91,10
WARRIOR,165,12615,2502,13,316,16,84,7,87
WARRIOR,166,1378,2866,317,11,88,8,86,11
WARRIOR,167,13020,2414,9,320,10,80,9,91
WARRIOR,168,1378,3056,314,11,92,14,85,7
WARRIOR,169,1377,2624,308,9,97,12,82,13
WARRIOR,170,12970,2782,11,320,4,91,13,76
WARRIOR,171,9470,2972,84,234,96,13,89,8
WARRIOR,172,1607,2416,306,13,104,8,77,9
WARRIOR,173,9623,2880,80,236,80,7,95,4
WARRIOR,174,4655,2153,239,88,6,80,9,88
WARRIOR,175,1377,2991,300,9,85,10,96,13
WARRIOR,176,9470,2765,102,234,73,9,84,12
WARRIOR,177,9929,2920,82,240,88,11,97,10
WARRIOR,178,12551,2442,7,308,12,81,9,96
WARRIOR,179,1607,2696,296,13,108,12,81,15
WARRIOR,180,4295,2774,241,93,12,80,17,91
WARRIOR,181,4378,2743,241,84,10,92,11,96
WARRIOR,182,4055,2656,239,83,4,87,9,98
WARRIOR,183,4083,2492,239,79,6,85,11,100
WARRIOR,184,13323,2315,9,320,4,81,5,84
WARRIOR,185,12276,2989,15,308,10,94,17,79
WARRIOR,186,1378,2462,315,11,77,8,85,9
WARRIOR,187,12949,2505,9,319,14,78,13,88
WARRIOR,188,11847,3174,15,304,8,101,15,78
WARRIOR,189,12202,2575,9,305,12,80,15,96
WARRIOR,190,10082,2909,96,242,77,9,90,8
WARRIOR,191,9776,2657,88,238,92,9,83,8
WARRIOR,192,12036,2845,13,298,14,101,13,88
WARRIOR,193,1148,2489,317,7,85,10,75,9
WARRIOR,194,12581,2613,9,313,8,89,13,79
WARRIOR,195,1378,3037,316,11,76,14,91,9
WARRIOR,196,11938,2673,11,306,8,86,15,83
WARRIOR,197,3581,3058,241,69,16,99,11,92
WARRIOR,198,9776,2951,91,238,85,13,87,10
WARRIOR,199,4441,2895,233,95,10,86,13,87
WARRIOR,200,9776,2438,77,238,101,7,81,14
WARRIOR,201,12972,2463,9,322,12,81,15,80
WARRIOR,202,1607,2774,299,13,101,10,81,5
WARRIOR,203,12712,2710,9,310,8,91,11,82
WARRIOR,204,9623,2860,93,236,71,13,85,10
WARRIOR,205,13044,2249,9,324,6,70,9,93
WARRIOR,206,1377,2368,309,9,93,8,75,13
WARRIOR,207,9776,2784,83,238,95,15,77,6
WARRIOR,208,12495,2684,7,311,8,84,11,88
WARRIOR,209,11959,2901,13,304,14,88,13,91
WARRIOR,210,12363,2567,11,313,10,78,13,86
WARRIOR,211,12592,2754,13,315,14,87,11,83
WARRIOR,212,13128,2723,9,323,8,82,13,88
WARRIOR,213,9317,2808,95,232,81,7,89,10
WARRIOR,214,12136,2225,13,305,10,73,9,97
WARRIOR,215,1836,2663,312,15,87,8,88,9
WARRIOR,216,9929,3072,89,240,85,15,87,14
WARRIOR,217,1148,3030,299,7,95,12,93,11
WARRIOR,218,9776,2554,79,238,97,11,79,12
WARRIOR,219,4321,2529,237,82,6,78,11,100
WARRIOR,220,10235,3073,86,244,85,13,88,12
WARRIOR,221,4165,2324,239,85,12,83,7,88
WARRIOR,222,1378,2909,307,11,99,12,85,15
WARRIOR,223,3764,2859,237,73,16,89,17,92
WARRIOR,224,9929,2998,80,240,86,7,97,10
WARRIOR,225,9929,3025,99,240,79,17,89,4
WARRIOR,226,9470,3271,68,234,84,15,101,10
WARRIOR,227,1607,2474,308,13,88,4,85,11
WARRIOR,228,4265,2560,237,87,12,78,9,97
WARRIOR,229,9623,3376,84,236,86,15,97,8
WARRIOR,230,1378,2696,310,11,90,8,89,13
WARRIOR,231,1378,2598,318,11,92,12,79,7
WARRIOR,232,1378,2678,325,11,87,8,83,9
WARRIOR,233,1607,2868,312,13,82,6,95,15
WARRIOR,234,4022,2685,235,84,12,91,9,83
WARRIOR,235,4664,2428,243,97,12,82,9,81
WARRIOR,236,9623,2590,94,236,79,13,76,12
WARRIOR,237,3891,2630,235,71,8,86,15,107
WARRIOR,238,4535,2427,239,96,4,75,11,93
WARRIOR,239,4145,2528,241,86,8,86,7,84
WARRIOR,240,9470,2823,82,234,96,15,77,10
WARRIOR,241,1607,2949,322,13,79,10,92,11
WARRIOR,242,9776,2890,83,238,83,9,91,10
WARRIOR,243,4990,2409,233,100,6,78,9,84
WARRIOR,244,3830,2531,241,69,12,87,11,98
WARRIOR,245,9929,2793,87,240,83,11,85,12
WARRIOR,246,4513,2472,239,91,12,80,9,91
WARRIOR,247,9623,2731,78,236,88,13,85,14
WARRIOR,248,12823,2405,17,320,6,77,9,90
WARRIOR,249,9470,2914,80,234,87,11,94,10
WARRIOR,250,12100,2715,7,303,6,86,11,96
WARRIOR,251,1378,2532,323,11,86,8,78,13
WARRIOR,252,1378,2470,314,11,91,4,84,11
WARRIOR,253,13214,2518,13,326,8,85,7,82
WARRIOR,254,9623,2853,86,236,85,9,86,14
WARRIOR,255,1607,2930,303,13,85,10,99,9
WARRIOR,256,12191,3249,7,306,10,102,15,85
WARRIOR,257,12745,2779,9,323,8,80,13,84
WARRIOR,258,12238,2491,13,312,12,78,11,97
WARRIOR,259,9623,2491,92,236,89,9,72,10
WARRIOR,260,919,2615,312,5,100,14,75,9
WARRIOR,261,3841,2640,237,76,14,84,11,98
WARRIOR,262,4150,2701,237,85,8,84,15,89
WARRIOR,263,9929,2841,89,240,88,11,84,14
WARRIOR,264,9776,3034,77,238,88,17,86,14
WARRIOR,265,9470,2452,88,234,88,11,75,10
WARRIOR,266,1378,2470,330,11,88,10,71,11
WARRIOR,267,1607,2994,315,13,79,10,95,13
WARRIOR,268,12393,2278,7,313,12,80,7,80
WARRIOR,269,12268,2588,15,301,14,92,11,92
WARRIOR,270,12758,2927,13,319,12,89,15,73
WARRIOR,271,1378,2379,311,11,100,6,74,9
WARRIOR,272,12663,2883,11,311,8,95,13,83
WARRIOR,273,9623,2711,86,236,93,13,78,10
WARRIOR,274,12799,2708,9,318,12,85,17,86
WARRIOR,275,1607,2778,309,13,85,12,91,9
WARRIOR,276,12648,2815,9,309,8,97,11,77
WARRIOR,277,1607,3219,316,13,85,14,96,7
WARRIOR,278,10235,3326,77,244,91,15,97,14
WARRIOR,279,4534,2647,235,93,10,92,7,73
WARRIOR,280,1378,3232,312,11,82,14,95,13
WARRIOR,281,1148,2655,320,7,90,12,75,15
WARRIOR,282,4535,2232,241,91,12,76,9,87
WARRIOR,283,4736,2552,237,87,8,86,11,89
WARRIOR,284,3642,2568,237,75,14,87,9,96
WARRIOR,285,10082,2728,83,242,90,11,84,8
WARRIOR,286,9623,2964,83,236,80,15,92,6
WARRIOR,287,1378,3029,316,11,78,10,97,11
WARRIOR,288,12804,2559,13,310,16,93,7,84
WARRIOR,289,10235,3149,82,244,84,13,99,8
WARRIOR,290,4548,2470,235,84,12,94,9,76
WARRIOR,291,1836,2447,312,15,100,6,81,15
WARRIOR,292,4596,2385,235,89,10,84,9,89
WARRIOR,293,12728,2659,9,315,14,84,15,76
WARRIOR,294,9776,2786,93,238,88,9,84,10
WARRIOR,295,12422,2947,9,306,6,101,11,84
WARRIOR,296,1607,2865,312,13,86,14,89,11
WARRIOR,297,1377,2815,306,9,91,10,86,9
WARRIOR,298,12511,2840,9,316,8,84,15,81
WARRIOR,299,4860,2503,239,102,10,75,13,87
WARRIOR,300,12467,2722,13,320,12,90,9,69
WARRIOR,301,9470,3115,87,234,77,15,91,8
WARRIOR,302,4538,2499,239,87,14,81,9,90
WARRIOR,303,1607,2753,304,13,100,12,83,11
WARRIOR,304,13060,2586,11,322,12,91,7,74
WARRIOR,305,10082,2723,89,242,87,9,89,8
WARRIOR,306,3927,2567,239,82,8,83,9,89
WARRIOR,307,4078,2531,245,87,8,82,9,87
WARRIOR,308,3943,2585,239,84,6,93,7,75
WARRIOR,309,9623,2780,90,236,78,9,83,10
WARRIOR,310,9623,2858,98,236,77,9,90,10
WARRIOR,311,1607,2980,313,13,85,10,91,9
WARRIOR,312,1377,2976,309,9,90,12,90,13
WARRIOR,313,1378,2989,316,11,82,14,83,11
WARRIOR,314,1378,3200,311,11,81,8,99,7
WARRIOR,315,1378,2570,307,11,91,6,83,11
WARRIOR,316,1607,2869,318,13,82,8,87,9
WARRIOR,317,12758,2240,5,314,10,75,7,96
WARRIOR,318,12758,2554,11,313,12,79,13,95
WARRIOR,319,9470,3154,69,234,83,11,101,10
WARRIOR,320,4362,2924,235,88,8,89,15,87
WARRIOR,321,1836,3029,319,15,84,10,88,13
WARRIOR,322,12317,2777,13,306,6,93,11,96
WARRIOR,323,9623,2966,88,236,85,15,86,4
WARRIOR,324,1607,2646,305,13,109,10,71,11
WARRIOR,325,4255,2957,237,90,8,85,17,89
WARRIOR,326,9623,2828,85,236,83,9,91,10
WARRIOR,327,5047,2157,243,103,10,74,7,79
WARRIOR,328,9623,2642,91,236,77,9,83,6
WARRIOR,329,12315,2523,11,305,16,93,5,89
WARRIOR,330,1378,3176,316,11,93,14,90,7
WARRIOR,331,1836,2616,311,15,89,10,83,13
WARRIOR,332,4271,2122,239,89,8,71,7,94
WARRIOR,333,12307,2504,9,311,6,78,9,100
WARRIOR,334,1607,2831,325,13,80,10,82,15
WARRIOR,335,9776,2930,92,238,82,9,87,10
WARRIOR,336,3760,3019,241,72,10,105,9,93
WARRIOR,337,12700,2330,15,312,10,80,9,99
WARRIOR,338,12575,2613,15,309,12,83,13,91
WARRIOR,339,12154,3245,7,304,10,106,11,81
WARRIOR,340,1377,2775,309,9,88,14,86,11
WARRIOR,341,1148,2961,312,7,93,8,88,17
WARRIOR,342,1148,2937,314,7,79,10,94,15
WARRIOR,343,3975,2730,241,77,10,87,13,94
WARRIOR,344,4382,2377,241,82,14,87,7,89
WARRIOR,345,4376,2608,237,92,6,78,15,90
WARRIOR,346,4895,2486,233,92,14,78,15,92
WARRIOR,347,12878,2408,11,314,12,85,9,86
WARRIOR,348,4149,2499,237,93,10,84,7,79
WARRIOR,349,9929,2746,93,240,78,11,88,12
WARRIOR,350,9623,2877,79,236,94,15,84,8
WARRIOR,351,4016,2052,239,80,12,69,9,109
WARRIOR,352,9623,2870,93,236,90,17,76,4
WARRIOR,353,10082,2883,88,242,79,13,88,10
WARRIOR,354,9776,2346,93,238,84,7,78,8
WARRIOR,355,10082,2692,90,242,81,9,84,8
WARRIOR,356,1836,3085,317,15,85,10,93,15
WARRIOR,357,4740,2524,235,93,12,85,11,80
WARRIOR,358,1377,3006,313,9,90,12,88,11
WARRIOR,359,1607,2556,322,13,98,8,77,17
WARRIOR,360,1607,3039,307,13,93,14,85,11
WARRIOR,361,1377,2695,291,9,108,8,82,13
WARRIOR,362,4228,2767,241,77,14,96,13,89
WARRIOR,363,4464,2617,237,89,12,83,15,92
WARRIOR,364,4183,2684,241,82,12,87,13,87
WARRIOR,365,9929,2759,86,240,88,11,81,12
WARRIOR,366,4602,2310,235,93,14,74,13,83
WARRIOR,367,3703,2570,243,76,6,82,13,94
WARRIOR,368,9317,2913,86,232,85,11,88,4
WARRIOR,369,1377,3062,317,9,81,10,93,9
WARRIOR,370,9623,2945,87,236,84,13,86,8
WARRIOR,371,4589,2537,241,93,14,83,9,84
WARRIOR,372,1148,2722,315,7,81,8,89,15
WARRIOR,373,4356,2850,237,84,12,90,15,84
WARRIOR,374,1607,2570,311,13,93,16,77,9
WARRIOR,375,3940,2466,239,86,8,69,13,103
WARRIOR,376,1836,2773,304,15,97,10,86,5
WARRIOR,377,12691,2830,11,314,12,91,13,90
WARRIOR,378,4712,2782,241,91,16,91,11,82
WARRIOR,379,12365,2740,11,308,6,85,17,90
WARRIOR,380,4375,2582,239,88,14,83,11,83
WARRIOR,381,9623,2975,74,236,102,15,83,6
WARRIOR,382,9929,2674,88,240,99,11,78,6
WARRIOR,383,1378,3096,300,11,94,12,101,13
WARRIOR,384,12644,2532,17,308,4,91,9,82
WARRIOR,385,13019,2725,9,325,12,87,9,77
WARRIOR,386,12755,2736,9,317,10,91,13,75
WARRIOR,387,12323,2720,11,312,12,87,11,84
WARRIOR,388,9776,2594,88,238,89,7,84,8
WARRIOR,389,9776,3052,78,238,84,9,99,4
WARRIOR,390,4455,2582,237,86,8,94,9,88
WARRIOR,391,9776,3055,83,238,79,11,97,4
WARRIOR,392,9623,2739,80,236,83,7,94,12
WARRIOR,393,9623,2946,87,236,89,9,91,8
WARRIOR,394,1836,2938,315,15,80,12,90,9
WARRIOR,395,1378,3049,315,11,77,6,101,5
WARRIOR,396,1377,2665,308,9,96,10,87,13
WARRIOR,397,1377,2959,318,9,87,14,82,11
WARRIOR,398,12242,2495,11,301,12,84,9,108
WARRIOR,399,1377,2723,318,9,93,14,76,13
WARRIOR,400,12392,2710,9,311,10,89,9,81
WARRIOR,401,10082,2914,58,242,98,9,99,10
WARRIOR,402,12971,2774,13,322,12,98,7,67
WARRIOR,403,1378,3054,310,11,80,10,97,7
WARRIOR,404,9470,3152,65,234,89,13,101,8
WARRIOR,405,1378,2940,305,11,84,10,94,9
WARRIOR,406,9623,2781,91,236,101,15,73,12
WARRIOR,407,3802,2922,237,75,10,95,11,92
WARRIOR,408,4288,2987,243,85,14,90,15,87
WARRIOR,409,10235,2810,92,244,91,13,78,8
WARRIOR,410,12821,2568,11,317,10,85,11,87
WARRIOR,411,9776,2522,80,238,90,9,81,12
WARRIOR,412,12823,2333,11,318,8,78,9,87
WARRIOR,413,1836,2835,309,15,96,12,86,13
WARRIOR,414,1378,2728,327,11,79,6,81,7
WARRIOR,415,12572,2643,7,313,14,90,9,82
WARRIOR,416,9776,2799,80,238,88,13,87,12
WARRIOR,417,9929,2807,86,240,74,9,93,10
WARRIOR,418,4923,2205,241,100,4,74,9,82
WARRIOR,419,9470,3022,79,234,85,13,93,8
WARRIOR,420,4374,2498,235,82,8,91,5,83
WARRIOR,421,1378,2438,321,11,82,8,80,15
WARRIOR,422,12320,2470,15,307,10,89,7,91
WARRIOR,423,13193,2980,13,326,12,98,11,65
WARRIOR,424,1148,2547,310,7,102,10,77,15
WARRIOR,425,1148,2556,321,7,83,8,83,13
WARRIOR,426,12079,2855,13,303,14,91,9,89
WARRIOR,427,4716,2759,241,92,14,87,11,87
WARRIOR,428,12541,2798,13,308,12,89,9,100
WARRIOR,429,4289,3004,235,89,12,99,11,80
WARRIOR,430,9317,2889,98,232,78,15,79,12
WARRIOR,431,1607,2736,311,13,99,6,87,9
WARRIOR,432,13167,2681,13,322,10,90,7,83
WARRIOR,433,9776,2930,83,238,82,13,90,10
WARRIOR,434,4078,2266,241,90,12,74,11,88
WARRIOR,435,4430,2515,237,90,10,89,7,79
WARRIOR,436,4165,2570,239,79,10,96,9,81
WARRIOR,437,4240,3010,243,87,8,94,13,89
WARRIOR,438,13084,2837,13,321,10,99,13,75
WARRIOR,439,1148,2782,313,7,92,10,84,11
WARRIOR,440,1836,3220,322,15,74,14,93,9
WARRIOR,441,1377,2744,324,9,82,10,85,13
WARRIOR,442,12553,2569,17,317,8,82,15,80
WARRIOR,443,12958,2376,11,323,8,75,11,83
WARRIOR,444,12330,2865,11,305,6,102,9,76
WARRIOR,445,9623,2877,80,236,103,11,84,6
WARRIOR,446,9929,3008,86,240,91,13,90,10
WARRIOR,447,4023,2598,239,82,6,87,9,95
WARRIOR,448,1378,2618,308,11,91,12,82,7
WARRIOR,449,9623,2525,95,236,87,7,79,12
WARRIOR,450,1377,2435,325,9,91,8,77,9
WARRIOR,451,9317,2655,93,232,78,11,82,14
WARRIOR,452,1607,3057,318,13,85,14,86,9
WARRIOR,453,9929,2779,70,240,91,9,94,10
WARRIOR,454,4749,2775,241,95,6,91,13,76
WARRIOR,455,4416,2515,241,92,8,78,11,90
WARRIOR,456,9317,2893,71,232,98,11,88,8
WARRIOR,457,13190,2656,11,324,8,93,7,78
WARRIOR,458,9623,3088,74,236,86,15,97,8
WARRIOR,459,1836,2670,313,15,89,8,85,15
WARRIOR,460,4377,2569,235,88,12,84,9,90
WARRIOR,461,1377,2326,308,9,101,6,74,13
WARRIOR,462,13014,2689,13,315,10,94,13,78
WARRIOR,463,9776,2882,81,238,95,13,85,12
WARRIOR,464,4045,2907,233,86,8,91,15,77
WARRIOR,465,12623,2455,15,313,8,88,5,92
WARRIOR,466,12857,2742,13,315,6,100,7,84
WARRIOR,467,12381,3041,11,310,8,94,13,85
WARRIOR,468,1378,2804,306,11,91,12,84,11
WARRIOR,469,1836,2530,317,15,84,12,76,9
WARRIOR,470,3881,2784,245,76,8,96,11,90
WARRIOR,471,3956,2763,243,80,14,91,11,87
WARRIOR,472,4081,2800,237,84,10,99,9,77
WARRIOR,473,4018,2492,243,81,12,82,11,93
WARRIOR,474,4149,2733,235,86,10,90,11,86
WARRIOR,475,13119,2065,7,327,10,75,7,83
WARRIOR,476,10082,2715,93,242,89,15,75,10
WARRIOR,477,1607,2842,306,13,86,12,85,13
WARRIOR,478,1148,2764,317,7,83,8,89,11
WARRIOR,479,12931,2346,11,320,4,82,5,89
WARRIOR,480,3928,2967,237,83,12,86,17,83
WARRIOR,481,1836,3150,320,15,78,10,93,17
WARRIOR,482,4411,2513,241,86,12,86,7,84
WARRIOR,483,1836,2923,310,15,104,16,79,15
WARRIOR,484,12815,2466,11,314,10,87,5,88
WARRIOR,485,4777,2559,237,94,10,83,15,85
WARRIOR,486,12917,2405,9,318,6,85,9,86
WARRIOR,487,12731,2591,9,313,6,89,9,87
WARRIOR,488,1377,2546,308,9,94,8,83,15
WARRIOR,489,1377,2729,313,9,85,12,87,11
WARRIOR,490,1148,2825,309,7,98,14,78,13
WARRIOR,491,4136,2405,239,79,10,83,11,92
WARRIOR,492,3813,2508,241,85,16,74,13,93
WARRIOR,493,9623,2455,95,236,92,9,70,14
WARRIOR,494,9929,2972,76,240,86,13,95,8
WARRIOR,495,10082,3063,94,242,83,17,88,14
WARRIOR,496,12649,2705,11,312,12,101,9,80
WARRIOR,497,1377,2524,322,9,76,4,91,13
WARRIOR,498,9929,2604,75,240,91,5,85,4
WARRIOR,499,4298,2519,235,87,8,79,11,90
WARRIOR,500,9776,3074,77,238,78,9,100,8
WARRIOR,501,4592,2261,241,91,12,78,9,83
WARRIOR,502,12949,2630,17,311,10,90,11,90
WARRIOR,503,9929,2914,78,240,93,9,90,10
WARRIOR,504,1377,2945,320,9,77,14,86,11
WARRIOR,505,4272,2351,239,84,12,75,11,105
WARRIOR,506,1378,3104,302,11,85,12,98,15
WARRIOR,507,12891,2818,11,317,10,92,11,86
WARRIOR,508,4291,2805,239,80,12,94,13,86
WARRIOR,509,11984,2882,11,301,8,96,11,84
WARRIOR,510,10082,2883,72,242,105,15,78,6
WARRIOR,511,4455,2291,237,94,12,77,9,87
WARRIOR,512,1836,2633,312,15,90,10,83,13
WARRIOR,513,919,2630,326,5,93,10,70,13
WARRIOR,514,1607,2922,307,13,99,12,89,9
WARRIOR,515,4360,2776,241,83,14,87,13,98
